date,万得证券编码,开盘价,最高价,最低价,收盘价,成交量,上市日期,是否风险警示板,交易状态,流通市值,成交额,扣非ROE,净资产负债率,经营现金流净额合计/利润,PE,ROE
2002-04-01,000007.SZ,32.25538344,33.19979782,32.03744166,32.80023789,637369.0,1992-04-13,是,交易,718435477.8299999,5725930.4,,,,-8.562664031982422,
2002-04-02,000007.SZ,33.018179669999995,34.216859459999995,32.80023789,33.744652269999996,720996.0,1992-04-13,是,交易,739121327.6899999,6652796.0,,,,-8.809207916259766,
2002-04-03,000007.SZ,34.1442122,34.1442122,33.4177396,33.744652269999996,399866.0,1992-04-13,是,交易,739121327.6899999,3710906.9,,,,-8.809207916259766,
2002-04-04,000007.SZ,33.744652269999996,34.1442122,33.05450329999999,34.1442122,430535.99999999994,1992-04-13,是,交易,747873033.4,3987948.5,,,,-8.913515090942383,
2002-04-05,000007.SZ,34.32583035,35.851422809999995,33.96259405,35.45186288,2206506.0,1992-04-13,是,交易,776514979.36,21399395.2,,,,-9.254883766174316,
2002-04-08,000007.SZ,35.124950209999994,36.50524815,35.124950209999994,36.25098274,1104879.0,1992-04-13,是,交易,794018390.7800001,10986015.299999999,,,,-9.46349811553955,
2002-04-09,000007.SZ,36.323629999999994,36.97745534,35.5971574,36.06936459,1831043.0,1992-04-13,是,交易,790040342.73,18295198.1,,,,-9.416086196899414,
2002-04-10,000007.SZ,36.25098274,36.65054267,35.9603937,36.06936459,802775.0,1992-04-13,是,交易,790040342.73,8007892.0,,,,-9.416086196899414,
2002-04-11,000007.SZ,36.06936459,36.06936459,36.06936459,36.06936459,0.0,1992-04-13,是,停牌一天,790040342.73,0.0,,,,92.97207641601562,
2002-04-12,000007.SZ,36.6868663,37.70392794,35.9603937,36.06936459,4649050.0,1992-04-13,否,交易,790040342.73,47101874.6,,,,92.97207641601562,
2002-04-15,000007.SZ,35.9603937,35.9603937,34.8706848,35.233921099999996,1421201.0,1992-04-13,否,交易,771741321.6999999,13782296.700000001,,,,90.81864166259766,
2002-04-16,000007.SZ,35.233921099999996,35.77877555,34.90700843,35.48818651,578942.0,1992-04-13,否,交易,777310588.9699999,5631430.3,,,,91.47403717041016,
2002-04-17,000007.SZ,35.5971574,35.66980466,34.216859459999995,34.943332059999996,737700.0,1992-04-13,否,交易,765376444.8199999,7051122.5,,,,90.06962585449219,
2002-04-18,000007.SZ,34.8706848,35.16127384,34.32583035,34.47112487,512878.0,1992-04-13,否,交易,755033519.89,4884849.6,,,,88.85246276855469,
2002-04-19,000007.SZ,34.32583035,34.68906665,32.80023789,34.10788857,995603.0000000001,1992-04-13,否,交易,747077423.7900001,9221249.5,,,,87.91619110107422,
2002-04-22,000007.SZ,33.96259405,34.07156494,33.09082693,33.23612145,424214.00000000006,1992-04-13,否,交易,727982793.15,3907258.9,,,,85.66913604736328,
2002-04-23,000007.SZ,33.23612145,34.507448499999995,33.19979782,33.926270419999994,626667.0,1992-04-13,否,交易,743099375.74,5885888.600000001,,,,87.44805145263672,
2002-04-24,000007.SZ,33.599357749999996,33.99891768,33.018179669999995,33.23612145,522814.99999999994,1992-04-13,否,交易,727982793.15,4793669.5,,,,85.66913604736328,
2002-04-25,000007.SZ,33.4177396,34.32583035,33.09082693,33.926270419999994,390851.0,1992-04-13,否,停牌1小时,743099375.74,3651862.9,,,,87.44805145263672,
2002-04-26,000007.SZ,33.926270419999994,35.34289199,33.744652269999996,34.943332059999996,795592.0,1992-04-13,否,交易,765376444.8199999,7581134.8,,,,90.06962585449219,
2002-04-29,000007.SZ,34.8706848,35.9603937,34.8706848,35.88774644,1087715.0,1992-04-13,否,交易,786062294.6800001,10651018.200000001,,,,92.50393676757812,
2002-04-30,000007.SZ,35.9603937,36.25098274,35.19759747,35.5971574,804078.0,1992-04-13,否,交易,779697417.8000001,7883175.0,,,,91.75492095947266,
2002-05-08,000007.SZ,35.5971574,35.9603937,34.68906665,35.088626579999996,462739.99999999994,1992-04-13,否,交易,768558883.26,4448613.0,,,,90.44412994384766,
2002-05-09,000007.SZ,35.088626579999996,37.01377897,34.61641939,35.5971574,1034059.0,1992-04-13,否,交易,779697417.8000001,10268685.7,,,,91.75492095947266,
2002-05-10,000007.SZ,35.63348103,35.9603937,34.834361169999994,35.01597932,533300.0,1992-04-13,否,交易,766967664.0400001,5180239.4,,,,90.25688171386719,
2002-05-13,000007.SZ,34.507448499999995,35.5971574,33.99891768,35.45186288,684543.0,1992-04-13,否,交易,776514979.36,6509632.800000001,,,,91.38040924072266,
2002-05-14,000007.SZ,35.233921099999996,36.65054267,34.1442122,35.560833769999995,2201834.0,1992-04-13,否,交易,778901808.1899999,21867157.200000003,,,,91.66129302978516,
2002-05-15,000007.SZ,35.63348103,37.23172075,35.37921562,35.9603937,4026076.9999999995,1992-04-13,否,交易,787653513.9,40603666.3,,,,92.69119262695312,
2002-05-16,000007.SZ,35.560833769999995,36.323629999999994,33.67200501,34.1442122,1864762.0,1992-04-13,否,交易,747873033.4,17865681.9,,,,88.00981903076172,
2002-05-17,000007.SZ,34.1442122,34.97965569,33.52671049,34.90700843,1180156.0,1992-04-13,否,交易,764580835.2099999,11160953.4,,,,89.97599792480469,
2002-05-20,000007.SZ,34.507448499999995,34.76171391,33.23612145,34.18053583,935799.0,1992-04-13,否,交易,748668643.01,8672795.299999999,,,,88.10344696044922,
2002-05-21,000007.SZ,34.8706848,36.287306369999996,34.32583035,35.92407007,1961841.9999999998,1992-04-13,否,交易,786857904.2900001,19138380.8,,,,92.59756469726562,
2002-05-22,000007.SZ,35.9603937,37.59495705,35.233921099999996,36.83216082,4326591.0,1992-04-13,否,交易,806748144.5400001,43739046.9,,,,94.9382553100586,
2002-05-23,000007.SZ,37.23172075,37.776575199999996,36.35995363,36.614219039999995,3238934.0,1992-04-13,否,交易,801974486.88,33145909.5,,,,94.3764877319336,
2002-05-24,000007.SZ,37.050102599999995,37.59495705,36.432600889999996,36.83216082,2693264.0,1992-04-13,否,交易,806748144.5400001,27432064.299999997,,,,94.9382553100586,
2002-05-27,000007.SZ,37.050102599999995,38.866284099999994,37.050102599999995,38.35775328,5014590.0,1992-04-13,否,交易,840163748.1600001,52615389.9,,,,98.87060546875,
2002-05-28,000007.SZ,38.35775328,38.35775328,38.35775328,38.35775328,0.0,1992-04-13,否,停牌一天,840163748.1600001,0.0,,,,98.87060546875,
2002-05-29,000007.SZ,37.050102599999995,37.4133389,35.5971574,35.77877555,2361447.0,1992-04-13,否,停牌1小时,783675465.85,23620530.0,,,,92.22305297851562,
2002-05-30,000007.SZ,36.25098274,37.01377897,35.5971574,36.6868663,1520066.0,1992-04-13,否,交易,803565706.1,15278374.6,,,,94.5637435913086,
2002-05-31,000007.SZ,36.39627726,36.79583719,35.30656836,35.37921562,1171893.0,1992-04-13,否,交易,774923760.14,11607536.299999999,,,,91.19315338134766,
2002-06-03,000007.SZ,34.8706848,35.16127384,33.09082693,33.56303412,1516253.0,1992-04-13,否,交易,735143279.64,14073318.6,,,,86.51177978515625,
2002-06-04,000007.SZ,33.345092339999994,34.10788857,33.16347419,33.70832864,874269.0,1992-04-13,否,交易,738325718.0799999,8093085.4,,,,86.88629150390625,
2002-06-05,000007.SZ,33.70832864,33.70832864,30.43920194,31.05670365,2449696.0,1992-04-13,否,交易,680246216.5500001,21134594.2,,,,80.05148315429688,
2002-06-06,000007.SZ,30.947732759999997,33.744652269999996,29.749052969999997,33.27244508,2123676.0,1992-04-13,否,交易,728778402.76,18580499.9,,,,85.76275634765625,
2002-06-07,000007.SZ,32.94553241,34.1442122,32.146412549999994,33.38141597,1699516.0,1992-04-13,否,交易,731165231.5899999,15653267.6,,,,86.04364013671875,
2002-06-10,000007.SZ,34.1442122,34.1442122,32.691266999999996,33.16347419,782901.0,1992-04-13,否,交易,726391573.9300001,7150611.399999999,,,,85.48188018798828,
2002-06-11,000007.SZ,33.16347419,33.599357749999996,32.80023789,33.56303412,584719.0,1992-04-13,否,交易,735143279.64,5369089.0,,,,86.51177978515625,
2002-06-12,000007.SZ,33.38141597,33.38141597,32.76391426,32.98185604,573908.0,1992-04-13,否,交易,722413525.88,5221889.9,,,,85.01374053955078,
2002-06-13,000007.SZ,32.76391426,33.56303412,32.76391426,32.83656152,361600.0,1992-04-13,否,交易,719231087.4399999,3293287.0,,,,84.63922882080078,
2002-06-14,000007.SZ,32.691266999999996,32.691266999999996,31.41993995,31.601558099999995,854916.0,1992-04-13,否,交易,692180360.6999999,7504662.9,,,,81.45589447021484,
2002-06-17,000007.SZ,31.41993995,32.25538344,31.05670365,32.07376529,385693.0,1992-04-13,否,交易,702523285.63,3368172.9,,,,82.67304992675781,
2002-06-18,000007.SZ,32.29170707,34.10788857,32.18273618,33.4177396,1088831.0,1992-04-13,否,交易,731960841.1999999,9998105.0,,,,86.13726806640625,
2002-06-19,000007.SZ,33.345092339999994,33.56303412,32.691266999999996,32.87288515,538592.0,1992-04-13,否,交易,720026697.0500001,4907491.2,,,,84.73285675048828,
2002-06-20,000007.SZ,32.76391426,34.8706848,32.76391426,34.1442122,2172056.0,1992-04-13,否,交易,747873033.4,20458479.599999998,,,,88.00981903076172,
2002-06-21,000007.SZ,34.61641939,37.55863342,34.1442122,37.55863342,7627898.0,1992-04-13,否,交易,822660336.74,77688400.1,,,,96.81079864501953,
2002-06-24,000007.SZ,41.29996730999999,41.29996730999999,40.39187655999999,41.29996730999999,6948397.0,1992-04-13,否,交易,904608126.5699999,78818657.39999999,,,,106.45442962646484,
2002-06-25,000007.SZ,44.31482859999999,45.440861129999995,41.69952724,42.31702895,13663348.000000002,1992-04-13,否,交易,926885195.65,165227699.9,,,,109.07599639892578,
2002-06-26,000007.SZ,41.95379265,42.462323469999994,40.60981834,42.20805805999999,3437778.0,1992-04-13,否,停牌1小时,924498366.8199999,39203758.300000004,,,,108.79512023925781,
2002-06-27,000007.SZ,42.20805805999999,42.49864709999999,40.646141969999995,41.00937826999999,3148865.0,1992-04-13,否,交易,898243249.6899999,35809967.6,,,,105.70541381835938,
2002-06-28,000007.SZ,41.00937826999999,41.00937826999999,41.00937826999999,41.00937826999999,0.0,1992-04-13,否,停牌一天,898243249.6899999,0.0,,,,105.70541381835938,
2002-07-01,000007.SZ,40.68246559999999,40.79143649,39.2295204,39.2295204,2305330.0,1992-04-13,否,交易,859258378.8000001,25217560.6,,,,101.11766815185547,
2002-07-02,000007.SZ,38.90260773,40.936731009999995,38.866284099999994,40.60981834,2010598.0,1992-04-13,否,交易,889491543.98,22269256.9,,,,104.67550659179688,
2002-07-03,000007.SZ,40.60981834,40.973054639999994,39.81069848,40.319229299999996,1093313.0,1992-04-13,否,交易,883126667.1,12105048.6,,,,103.9264907836914,
2002-07-04,000007.SZ,40.13761115,40.68246559999999,39.52010944,39.62908033,897490.0,1992-04-13,否,交易,868010084.51,9886851.5,,,,102.14756774902344,
2002-07-05,000007.SZ,39.774374849999994,40.319229299999996,39.08422588,40.319229299999996,648427.0,1992-04-13,否,交易,883126667.1,7080261.0,,,,103.9264907836914,
2002-07-08,000007.SZ,40.39187655999999,41.7721745,40.319229299999996,41.7721745,1715957.0,1992-04-13,否,交易,914951051.5,19416554.0,,,,107.67158508300781,
2002-07-09,000007.SZ,41.7721745,42.06276354,41.0457019,41.11834916,1397985.0,1992-04-13,否,交易,900630078.52,16019069.0,,,,105.98628997802734,
2002-07-10,000007.SZ,41.0457019,41.15467279,39.955993,40.10128751999999,1297017.0,1992-04-13,否,交易,878353009.4399999,14396250.6,,,,103.3647232055664,
2002-07-11,000007.SZ,39.955993,41.00937826999999,39.62908033,40.24658204,732050.0,1992-04-13,否,交易,881535447.88,8101155.899999999,,,,103.7392349243164,
2002-07-12,000007.SZ,40.60981834,40.68246559999999,39.883345739999996,40.24658204,425358.0,1992-04-13,否,交易,881535447.88,4723366.0,,,,103.7392349243164,
2002-07-15,000007.SZ,40.028640259999996,40.064963889999994,39.447462179999995,39.52010944,493530.0,1992-04-13,否,交易,865623255.6800001,5381294.8,,,,101.86668395996094,
2002-07-16,000007.SZ,39.883345739999996,40.46452382,39.5927567,39.70172759,473066.0,1992-04-13,否,交易,869601303.73,5210840.7,,,,102.33482360839844,
2002-07-17,000007.SZ,40.13761115,40.50084745,39.5927567,40.50084745,341169.0,1992-04-13,否,交易,887104715.15,3759014.2,,,,104.39462280273438,
2002-07-18,000007.SZ,40.50084745,40.86408375,40.355552929999995,40.50084745,539760.0,1992-04-13,否,交易,887104715.15,6029227.399999999,,,,104.39462280273438,
2002-07-19,000007.SZ,40.646141969999995,41.0457019,40.57349471,40.936731009999995,634562.0,1992-04-13,否,交易,896652030.4699999,7131758.2,,,,105.51815795898438,
2002-07-22,000007.SZ,41.263643679999994,41.33629094,39.84702211,39.91966937,772277.0,1992-04-13,否,交易,874374961.39,8544308.6,,,,102.8965835571289,
2002-07-23,000007.SZ,39.774374849999994,40.319229299999996,39.62908033,39.70172759,357930.0,1992-04-13,否,交易,869601303.73,3937465.6,,,,102.33482360839844,
2002-07-24,000007.SZ,39.70172759,40.13761115,39.5927567,39.70172759,309494.0,1992-04-13,否,交易,869601303.73,3386739.0,,,,102.33482360839844,
2002-07-25,000007.SZ,39.52010944,40.28290567,38.866284099999994,39.04790225,567085.0,1992-04-13,否,交易,855280330.75,6131269.100000001,,,,100.64952850341797,
2002-07-26,000007.SZ,39.2295204,39.26584403,38.03084061,38.06716424,620440.0,1992-04-13,否,交易,833798871.2800001,6592883.899999999,,,,98.12158203125,
2002-07-29,000007.SZ,38.06716424,38.06716424,38.06716424,38.06716424,0.0,1992-04-13,否,停牌一天,833798871.2800001,0.0,,,,98.12158203125,
2002-07-30,000007.SZ,38.32142965,38.90260773,38.248782389999995,38.43040054,496030.0,1992-04-13,否,交易,841754967.38,5260881.2,,,,99.057861328125,
2002-07-31,000007.SZ,38.43040054,38.684665949999996,37.59495705,37.631280679999996,618009.0,1992-04-13,否,交易,824251555.9599999,6445944.5,,,,96.99805450439453,
2002-08-01,000007.SZ,37.59495705,38.32142965,37.485986159999996,37.958193349999995,388751.0,1992-04-13,否,交易,831412042.4499999,4048203.0,,,,97.84070587158203,
2002-08-02,000007.SZ,37.958193349999995,38.394076909999995,37.050102599999995,37.84922246,280320.0,1992-04-13,否,交易,829025213.62,2922622.4000000004,,,,97.55982208251953,
2002-08-05,000007.SZ,37.44966253,37.776575199999996,36.97745534,37.23172075,601137.0,1992-04-13,否,交易,815499850.25,6148458.0,,,,95.96815490722656,
2002-08-06,000007.SZ,37.340691639999996,38.93893136,36.94113171,38.17613513,1392445.0,1992-04-13,否,交易,836185700.11,14623598.9,,,,98.4024658203125,
2002-08-07,000007.SZ,38.1398115,38.1398115,37.4133389,37.70392794,351908.0,1992-04-13,否,交易,825842775.1800001,3647074.9,,,,97.18531036376953,
2002-08-08,000007.SZ,37.70392794,38.1398115,37.23172075,37.30436801,398389.0,1992-04-13,否,交易,817091069.4699999,4119048.7999999993,,,,96.15541076660156,
2002-08-09,000007.SZ,37.59495705,38.28510601999999,37.23172075,37.59495705,464299.0,1992-04-13,否,交易,823455946.35,4815354.8,,,,96.90442657470703,
2002-08-12,000007.SZ,37.4133389,37.52230979,37.050102599999995,37.23172075,201260.0,1992-04-13,否,交易,815499850.25,2072213.2000000002,,,,95.96815490722656,
2002-08-13,000007.SZ,37.4133389,37.776575199999996,37.23172075,37.377015269999994,170581.0,1992-04-13,否,交易,818682288.6899999,1757252.3,,,,96.34266662597656,
2002-08-14,000007.SZ,37.52230979,38.1398115,37.44966253,38.1398115,241336.0,1992-04-13,否,交易,835390090.5,2514071.9,,,,98.308837890625,
2002-08-15,000007.SZ,38.1398115,38.684665949999996,37.776575199999996,38.103487869999995,531307.0,1992-04-13,否,停牌1小时,834594480.89,5605088.5,,,,37.42385482788086,
2002-08-16,000007.SZ,37.99451698,38.829960469999996,37.52230979,38.64834232,575604.0,1992-04-13,否,交易,846528625.0400001,6087006.0,,,,37.958988189697266,
2002-08-19,000007.SZ,38.5030478,38.829960469999996,38.32142965,38.394076909999995,294600.0,1992-04-13,否,交易,840959357.77,3129903.8,,,,37.709259033203125,
2002-08-20,000007.SZ,38.1398115,39.04790225,38.1398115,38.93893136,513200.0,1992-04-13,否,交易,852893501.9200001,5481323.9,,,,38.2443962097168,
2002-08-21,000007.SZ,39.156873139999995,39.84702211,38.866284099999994,39.04790225,565832.0,1992-04-13,否,交易,855280330.75,6114774.6,,,,38.35142135620117,
2002-08-22,000007.SZ,39.2295204,39.52010944,38.72098958,39.12054951,571289.0,1992-04-13,否,交易,856871549.9699999,6142139.9,,,,38.42277526855469,
2002-08-23,000007.SZ,39.156873139999995,39.26584403,38.72098958,38.829960469999996,281510.0,1992-04-13,否,交易,850506673.0899999,3020023.6,,,,38.137367248535156,
2002-08-26,000007.SZ,38.829960469999996,38.829960469999996,37.88554609,37.92186972,485100.0,1992-04-13,否,交易,830616432.8399999,5101069.9,,,,37.24547576904297,
2002-08-27,000007.SZ,37.88554609,38.684665949999996,37.88554609,38.46672417,325239.0,1992-04-13,否,交易,842550576.99,3429288.7,,,,37.780609130859375,
2002-08-28,000007.SZ,38.64834232,38.64834232,38.1398115,38.32142965,250496.0,1992-04-13,否,交易,839368138.5500001,2642275.8,,,,37.637908935546875,
2002-08-29,000007.SZ,38.35775328,38.64834232,37.84922246,37.958193349999995,234960.0,1992-04-13,否,交易,831412042.4499999,2469787.6,,,,37.281150817871094,
2002-08-30,000007.SZ,37.88554609,38.5030478,37.88554609,38.1398115,215180.00000000003,1992-04-13,否,交易,835390090.5,2258971.4,,,,37.459529876708984,
2002-09-02,000007.SZ,38.1398115,38.684665949999996,38.06716424,38.575695059999994,210500.0,1992-04-13,否,交易,844937405.8199999,2230416.1,,,,37.887638092041016,
2002-09-03,000007.SZ,38.1398115,39.33849129,38.1398115,38.866284099999994,414516.0,1992-04-13,否,交易,851302282.6999999,4453906.2,,,,38.17304229736328,
2002-09-04,000007.SZ,38.975254989999996,39.2295204,38.5030478,38.575695059999994,414533.0,1992-04-13,否,交易,844937405.8199999,4435754.5,,,,37.887638092041016,
2002-09-05,000007.SZ,38.248782389999995,38.575695059999994,37.377015269999994,37.4133389,722298.0,1992-04-13,否,交易,819477898.3000001,7509290.699999999,,,,36.74601364135742,
2002-09-06,000007.SZ,37.4133389,37.84922246,37.4133389,37.44966253,356965.0,1992-04-13,否,交易,820273507.9100001,3691916.0,,,,36.78168869018555,
2002-09-09,000007.SZ,37.4133389,37.4133389,36.54157178,36.6868663,424350.0,1992-04-13,否,交易,803565706.1,4310113.0,,,,36.032501220703125,
2002-09-10,000007.SZ,36.97745534,37.050102599999995,36.323629999999994,36.759513559999995,305625.0,1992-04-13,否,交易,805156925.3199999,3079326.3000000003,,,,36.103851318359375,
2002-09-11,000007.SZ,36.904808079999995,36.904808079999995,35.81509918,36.287306369999996,369403.0,1992-04-13,否,交易,794814000.39,3670573.5,,,,35.64006805419922,
