date,万得证券编码,开盘价,最高价,最低价,收盘价,成交量,上市日期,是否风险警示板,交易状态,流通市值,成交额,扣非ROE,净资产负债率,经营现金流净额合计/利润,PE,ROE
2002-04-01,000016.SZ,28.872777,29.39049576,28.6736544,29.111724119999998,520241.0,1992-03-27,否,交易,1638892526.24,3779934.8,,,,-49.66649627685547,
2002-04-02,000016.SZ,29.111724119999998,29.31084672,28.434707279999998,28.63382988,587775.0,1992-03-27,否,交易,1611988681.76,4234736.899999999,,,,-48.85117721557617,
2002-04-03,000016.SZ,28.4745318,28.99225056,28.394882759999998,28.71347892,579468.0,1992-03-27,否,交易,1616472655.84,4165679.3,,,,-48.987064361572266,
2002-04-04,000016.SZ,28.63382988,29.54979384,28.355058239999998,29.31084672,657415.0,1992-03-27,否,交易,1650102461.44,4789836.6,,,,-50.0062141418457,
2002-04-05,000016.SZ,29.4701448,29.788740960000002,29.0718996,29.430320279999997,764437.0,1992-03-27,否,交易,1656828422.56,5649553.5,,,,-50.21004104614258,
2002-04-08,000016.SZ,29.430320279999997,29.62944288,28.71347892,29.0718996,443549.0,1992-03-27,否,交易,1636650539.2,3249381.0,,,,-49.59855270385742,
2002-04-09,000016.SZ,28.79312796,31.74014244,28.79312796,31.50119532,3892446.0,1992-03-27,否,交易,1773411748.64,30065079.900000002,,,,-53.74309158325195,
2002-04-10,000016.SZ,31.580844359999997,32.536632839999996,31.10295012,31.62066888,6063901.0,1992-03-27,否,交易,1780137709.76,48678244.400000006,,,,-53.94691848754883,
2002-04-11,000016.SZ,30.465757800000002,33.77119296,30.30645972,32.616281879999995,11970715.0,1992-03-27,否,停牌1小时,1836187385.76,98350962.0,,,,-7.045339107513428,
2002-04-12,000016.SZ,32.57645736,34.08978912,32.058738600000005,33.81101748,9829820.0,1992-03-27,否,交易,1903446996.96,82275306.80000001,,,,-7.303410530090332,
2002-04-15,000016.SZ,33.93049104,37.15627716,33.4525968,35.96154155999999,15223774.0,1992-03-27,否,交易,2024514297.12,136152558.3,,,,-7.767938137054443,
2002-04-16,000016.SZ,36.0411906,37.235926199999994,35.32434924,36.638558399999994,10015374.0,1992-03-27,否,交易,2062628076.8,90969244.8,,,,-7.914178371429443,
2002-04-17,000016.SZ,36.638558399999994,36.678382920000004,35.642945399999995,35.842068,4986948.0,1992-03-27,否,交易,2017788336.0,45119245.4,,,,-7.742131233215332,
2002-04-18,000016.SZ,35.842068,36.0411906,35.0455776,35.4438228,4280008.0,1992-03-27,否,交易,1995368465.6000001,38203745.8,,,,-7.656107425689697,
2002-04-19,000016.SZ,35.00575308,35.60312088,33.6517194,35.16505116,5751214.0,1992-03-27,否,交易,1979674556.32,49943946.5,,,,-7.595890998840332,
2002-04-22,000016.SZ,35.00575308,35.60312088,34.52785884,34.80663048,2376590.0,1992-03-27,否,交易,1959496672.96,20860659.400000002,,,,-7.518469333648682,
2002-04-23,000016.SZ,34.80663048,34.80663048,32.97470256,33.01452707999999,3527286.0,1992-03-27,否,交易,1858607256.1599998,29849638.200000003,,,,-7.1313629150390625,
2002-04-24,000016.SZ,33.4525968,36.240313199999996,33.4525968,35.642945399999995,6817738.0,1992-03-27,否,停牌1小时,2006578400.8,60127248.699999996,,,,-7.6991190910339355,
2002-04-25,000016.SZ,35.642945399999995,36.160664159999996,34.52785884,34.647332399999996,3622255.0000000005,1992-03-27,否,交易,1950528724.8,31907217.799999997,,,,-7.484059810638428,
2002-04-26,000016.SZ,34.647332399999996,35.60312088,34.60750788,35.0455776,2748911.0,1992-03-27,否,交易,1972948595.2,24131935.900000002,,,,-7.5700836181640625,
2002-04-29,000016.SZ,35.12522664,38.55013536,34.32873624,38.55013536,14178737.0,1992-03-27,否,交易,2170243454.72,133231830.1,,,,-8.327092170715332,
2002-04-30,000016.SZ,38.86873152,39.6253974,38.15189016,38.510310839999995,13070553.0,1992-03-27,否,交易,2168001467.68,127649679.2,,,,-8.318490028381348,
2002-05-08,000016.SZ,38.510310839999995,38.510310839999995,37.07662812,37.235926199999994,3343021.0,1992-03-27,否,交易,2096257882.3999999,31504020.5,,,,-8.043213844299316,
2002-05-09,000016.SZ,37.11645264,40.4218878,36.79785648,38.39083728,7410116.0,1992-03-27,否,交易,2161275506.56,72375235.5,,,,-8.292682647705078,
2002-05-10,000016.SZ,38.31118823999999,38.70943344,37.27575072,37.67399592,3313829.0,1992-03-27,否,交易,2120919739.8400002,31524308.3,,,,-8.137840270996094,
2002-05-13,000016.SZ,37.67399592,37.67399592,37.67399592,37.67399592,0.0,1992-03-27,否,停牌一天,2120919739.8400002,0.0,,,,-8.137840270996094,
2002-05-14,000016.SZ,37.51469784,38.15189016,36.638558399999994,36.87750552,3317416.0000000005,1992-03-27,否,交易,2076079999.04,30971050.1,,,,-7.965792655944824,
2002-05-15,000016.SZ,36.87750552,37.67399592,36.20048868,37.07662812,2777906.0,1992-03-27,否,交易,2087289934.24,25700983.0,,,,-8.008804321289062,
2002-05-16,000016.SZ,37.07662812,37.07662812,35.28452471999999,35.52347184,4266465.0,1992-03-27,否,交易,1999852439.68,38469357.900000006,,,,-7.673312187194824,
2002-05-17,000016.SZ,35.80224348,36.638558399999994,35.28452471999999,36.59873388,3816654.0,1992-03-27,否,交易,2060386089.76,34603718.9,,,,-7.905576229095459,
2002-05-20,000016.SZ,36.4394358,36.4394358,35.0455776,35.563296359999995,2064164.0,1992-03-27,否,交易,2002094426.72,18403844.099999998,,,,-7.681914329528809,
2002-05-21,000016.SZ,37.0368036,38.15189016,36.160664159999996,37.355399760000005,6041147.0,1992-03-27,否,交易,2102983843.5200002,56498250.800000004,,,,-8.069021224975586,
2002-05-22,000016.SZ,37.4350488,39.0280296,37.4350488,37.67399592,6605328.0,1992-03-27,否,交易,2120919739.8400002,63435850.2,,,,-8.137840270996094,
2002-05-23,000016.SZ,37.79346948,38.98820507999999,37.51469784,37.833294,3542505.0000000005,1992-03-27,否,交易,2129887688.0,33994178.800000004,,,,-8.172249794006348,
2002-05-24,000016.SZ,37.63417139999999,37.992592079999994,36.55890936,36.87750552,2854674.0,1992-03-27,否,交易,2076079999.04,26436131.2,,,,-7.965792655944824,
2002-05-27,000016.SZ,36.87750552,37.55452236,36.35978676,37.07662812,1214195.0,1992-03-27,否,交易,2087289934.24,11224502.8,,,,-8.008804321289062,
2002-05-28,000016.SZ,37.11645264,38.032416600000005,36.87750552,37.235926199999994,1365782.0,1992-03-27,否,交易,2096257882.3999999,12875800.4,,,,-8.043213844299316,
2002-05-29,000016.SZ,37.235926199999994,37.27575072,35.842068,36.20048868,1885193.9999999998,1992-03-27,否,交易,2037966219.36,17223159.1,,,,-7.819552421569824,
2002-05-30,000016.SZ,36.20048868,36.55890936,35.0455776,35.842068,2345431.0,1992-03-27,否,交易,2017788336.0,21017247.3,,,,-7.742131233215332,
2002-05-31,000016.SZ,35.842068,36.0411906,35.12522664,35.4438228,1420367.0,1992-03-27,否,交易,1995368465.6000001,12648408.100000001,,,,-7.656107425689697,
2002-06-03,000016.SZ,35.08540212,35.08540212,33.77119296,33.850842,1995934.9999999998,1992-03-27,否,交易,1905688984.0,17171634.8,,,,-7.312012672424316,
2002-06-04,000016.SZ,34.965928559999995,34.965928559999995,33.33312324,33.81101748,1505446.0,1992-03-27,否,交易,1903446996.96,12824023.2,,,,-7.303410530090332,
2002-06-05,000016.SZ,33.850842,33.850842,32.2578612,32.69593092,2075788.0,1992-03-27,否,交易,1840671359.8400002,17067696.1,,,,-7.062543869018555,
2002-06-06,000016.SZ,32.6561064,35.642945399999995,32.13838764,34.76680596,2834088.0,1992-03-27,否,交易,1957254685.92,24129494.1,,,,-7.509867191314697,
2002-06-07,000016.SZ,34.56768336,35.642945399999995,33.93049104,34.56768336,2869420.0,1992-03-27,否,交易,1946044750.72,25091830.5,,,,-7.466855525970459,
2002-06-10,000016.SZ,34.60750788,34.846455,33.731368440000004,34.20926268,1147342.0,1992-03-27,否,交易,1925866867.36,9829549.5,,,,-7.389433860778809,
2002-06-11,000016.SZ,33.850842,35.0455776,33.77119296,34.56768336,1179922.0,1992-03-27,否,交易,1946044750.72,10216531.3,,,,-7.466855525970459,
2002-06-12,000016.SZ,34.56768336,35.642945399999995,34.56768336,35.32434924,3296206.0,1992-03-27,否,交易,1988642504.4799998,29230877.9,,,,-7.630300521850586,
2002-06-13,000016.SZ,35.2447002,35.4438228,34.4482098,34.52785884,1308260.0,1992-03-27,否,交易,1943802763.68,11456488.7,,,,-7.458252906799316,
