trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2021-01-04,600819.SH,6.06,6.33,6.03,6.24,6.06,0.18,2.9703,268524.86,167236.255
2021-01-05,600819.SH,6.14,6.2,5.89,5.96,6.24,-0.28,-4.4872,224563.23,134871.663
2021-01-06,600819.SH,5.99,6.04,5.7,5.78,5.96,-0.18,-3.0201,164599.05,95851.018
2021-01-07,600819.SH,5.76,5.79,5.54,5.55,5.78,-0.23,-3.9792,169286.57,95159.514
2021-01-08,600819.SH,5.58,5.6,5.3,5.33,5.55,-0.22,-3.964,177337.0,95744.278
2021-01-11,600819.SH,5.3,5.46,5.2,5.23,5.33,-0.1,-1.8762,151532.32,80325.572
2021-01-12,600819.SH,5.24,5.4,5.21,5.32,5.23,0.09,1.7208,98230.51,52127.912
2021-01-13,600819.SH,5.35,5.52,5.29,5.45,5.32,0.13,2.4436,155978.92,84800.643
2021-01-14,600819.SH,5.43,5.46,5.2,5.22,5.45,-0.23,-4.2202,108076.93,57100.69
2021-01-15,600819.SH,5.22,5.26,5.03,5.12,5.22,-0.1,-1.9157,102910.0,52686.188
2021-01-18,600819.SH,5.09,5.41,5.06,5.32,5.12,0.2,3.9063,99912.46,52699.984
2021-01-19,600819.SH,5.39,5.39,5.18,5.18,5.32,-0.14,-2.6316,81172.0,42729.263
2021-01-20,600819.SH,5.21,5.29,5.14,5.19,5.18,0.01,0.1931,62711.0,32637.58
2021-01-21,600819.SH,5.21,5.3,5.11,5.23,5.19,0.04,0.7707,83316.02,43402.898
2021-01-22,600819.SH,5.22,5.43,5.21,5.31,5.23,0.08,1.5296,134241.02,71285.054
2021-01-25,600819.SH,5.23,5.23,4.98,4.99,5.31,-0.32,-6.0264,139180.5,70139.106
2021-01-26,600819.SH,4.96,5.04,4.89,4.89,4.99,-0.1,-2.004,66969.01,33155.425
2021-01-27,600819.SH,4.89,4.94,4.82,4.9,4.89,0.01,0.2045,61744.0,30086.57
2021-01-28,600819.SH,4.87,4.97,4.83,4.9,4.9,0.0,0.0,48044.72,23555.997
2021-01-29,600819.SH,4.95,5.02,4.9,4.93,4.9,0.03,0.6122,68933.46,34056.057
2021-02-01,600819.SH,4.95,4.96,4.73,4.77,4.93,-0.16,-3.2454,76944.01,37188.062
2021-02-02,600819.SH,4.75,4.84,4.65,4.79,4.77,0.02,0.4193,80825.0,38576.572
2021-02-03,600819.SH,4.78,4.78,4.65,4.65,4.79,-0.14,-2.9228,50478.11,23729.51
2021-02-04,600819.SH,4.62,4.64,4.46,4.5,4.65,-0.15,-3.2258,61733.0,27952.344
2021-02-05,600819.SH,4.51,4.58,4.4,4.4,4.5,-0.1,-2.2222,48200.0,21559.672
2021-02-08,600819.SH,4.42,4.46,4.35,4.44,4.4,0.04,0.9091,38477.0,17006.152
2021-02-09,600819.SH,4.44,4.61,4.41,4.58,4.44,0.14,3.1532,51376.0,23387.32
2021-02-10,600819.SH,4.57,4.61,4.51,4.56,4.58,-0.02,-0.4367,37863.0,17241.499
2021-02-18,600819.SH,4.63,4.82,4.63,4.79,4.56,0.23,5.0439,69577.0,33000.612
2021-02-19,600819.SH,4.79,4.87,4.74,4.78,4.79,-0.01,-0.2088,98496.0,47378.052
2021-02-22,600819.SH,4.85,5.14,4.84,4.96,4.78,0.18,3.7657,139318.08,69632.591
2021-02-23,600819.SH,4.98,5.14,4.91,5.07,4.96,0.11,2.2177,98286.0,49595.767
