datetime,open,high,low,close,volume
2018-12-30,50.66,51.46,49.28,50.46,1583704
2019-01-06,50.86,52.17,49.17,49.92,3626839
2019-01-13,49.92,49.92,47.69,48.59,4622604
2019-01-20,48.87,51.46,48.20,50.57,4035803
2019-01-27,50.65,52.37,49.61,52.25,3548475
2019-02-10,52.24,55.14,51.62,53.74,6114116
2019-02-17,54.34,64.19,53.94,64.19,9857527
2019-02-24,65.49,70.61,63.86,65.07,11957440
2019-03-03,65.50,68.22,62.43,64.87,13893642
2019-03-10,65.50,71.22,63.55,66.22,15573269
2019-03-17,66.01,68.54,64.78,65.90,7482442
2019-03-24,65.88,66.72,62.07,66.63,7273039
2019-03-31,68.37,68.37,64.03,67.00,9141374
2019-04-07,67.00,67.34,60.06,61.71,9126734
2019-04-14,61.90,64.02,59.56,62.71,10881370
2019-04-21,62.53,63.52,59.58,60.10,8549427
2019-04-28,60.15,62.89,58.54,62.30,4214612
2019-05-05,59.88,61.16,53.54,57.30,9671869
2019-05-12,57.11,57.83,53.75,54.32,7571515
2019-05-19,53.91,54.86,51.17,51.85,9617408
2019-05-26,52.24,54.03,49.82,52.31,14148473
2019-06-02,52.84,54.84,50.40,53.81,13266731
2019-06-09,54.46,55.74,52.46,53.48,10163238
2019-06-16,53.74,56.93,52.33,55.22,12541571
2019-06-23,54.96,59.87,53.01,58.11,25454618
2019-06-30,60.10,61.20,55.23,56.28,27636278
2019-07-07,55.97,56.82,54.78,55.49,9615587
2019-07-14,55.23,57.77,54.42,56.31,12890384
2019-07-21,56.38,60.91,54.59,59.88,19416902
2019-07-28,60.17,61.68,57.93,60.32,14356930
2019-08-04,59.66,69.94,56.05,66.81,28130042
2019-08-11,67.64,72.30,64.44,65.53,32097452
2019-08-18,67.37,72.08,66.33,67.59,42774756
2019-08-25,66.21,69.31,63.41,66.66,33223949
2019-09-01,65.78,80.17,65.59,74.00,48959130
2019-09-08,74.11,75.38,70.66,72.37,29740244
2019-09-15,72.43,75.96,70.05,74.91,32534663
2019-09-22,74.33,74.53,65.22,66.87,31228440
2019-09-29,67.82,68.23,66.68,67.00,3798167
2019-10-06,67.00,69.67,62.45,68.26,19687024
2019-10-13,69.45,69.65,65.65,66.08,14973008
2019-10-20,65.79,68.35,63.73,67.14,18461539
2019-10-27,64.15,67.14,61.96,63.85,24369843
2019-11-03,63.85,68.00,63.61,67.26,16320235
2019-11-10,66.58,68.84,63.66,67.21,14444503
2019-11-17,67.58,68.12,62.76,63.29,13939453
2019-11-24,63.35,63.47,59.98,61.72,12251332
2019-12-01,61.33,63.87,60.71,62.31,12275866
2019-12-08,61.99,66.08,61.87,65.68,18821205
2019-12-15,65.78,68.55,65.04,67.05,14737006
