datetime,open,high,low,close,volume,openinterest
2019-01-02,33.06,33.50,31.95,32.39,10629352,0
2019-01-03,32.26,32.94,31.40,31.83,8602646,0
2019-01-04,31.40,33.56,31.34,33.50,12768116,0
2019-01-07,33.50,34.36,33.37,33.62,10584321,0
2019-01-08,33.31,34.11,32.69,33.74,10012902,0
2019-01-09,33.74,34.55,33.56,33.74,10180626,0
2019-01-10,33.99,34.11,33.37,33.50,5795725,0
2019-01-11,33.87,33.99,32.82,33.13,9397423,0
2019-01-14,33.13,33.44,32.32,32.51,7926510,0
2019-01-15,32.32,33.19,31.89,33.06,10543975,0
2019-01-16,33.00,33.00,32.57,32.63,6608719,0
2019-01-17,32.63,32.94,31.83,32.08,8690225,0
2019-01-18,31.95,32.82,31.95,32.76,8905703,0
2019-01-21,33.06,33.06,32.08,32.45,12920014,0
2019-01-22,32.39,32.69,32.02,32.45,10308056,0
2019-01-23,32.45,32.57,32.08,32.51,4210288,0
2019-01-24,32.51,32.57,31.89,32.39,6154404,0
2019-01-25,32.94,34.05,32.76,33.06,17327083,0
2019-01-28,33.31,34.30,32.88,33.87,16866444,0
2019-01-29,33.93,35.04,33.62,34.79,22561956,0
2019-01-30,34.67,35.41,33.81,34.24,19107582,0
2019-01-31,34.61,35.22,33.99,34.24,14239527,0
2019-02-01,34.67,35.04,34.36,34.73,11544871,0
2019-02-11,34.73,35.96,34.73,35.72,16813617,0
2019-02-12,35.66,35.96,35.04,35.66,13376682,0
2019-02-13,35.66,36.95,35.29,36.40,19261256,0
2019-02-14,36.15,36.46,35.84,36.15,11996036,0
2019-02-15,35.96,36.21,34.92,34.92,16035503,0
2019-02-18,34.98,36.03,34.85,35.90,18796097,0
2019-02-19,35.96,36.15,34.55,35.10,23535603,0
2019-02-20,35.16,35.72,34.79,35.41,13070166,0
2019-02-21,35.47,35.72,34.42,34.85,20129070,0
2019-02-22,34.92,35.29,34.55,35.16,16278673,0
2019-02-25,35.29,37.32,35.29,37.01,40407165,0
2019-02-26,37.07,38.99,37.07,37.75,46181829,0
2019-02-27,37.51,38.99,37.51,38.49,50575302,0
2019-02-28,38.86,39.17,38.00,38.31,30350197,0
2019-03-01,38.68,38.93,38.19,38.62,20778844,0
2019-03-04,38.99,40.53,38.74,39.17,58106227,0
2019-03-05,40.41,42.38,40.10,41.89,61776762,0
2019-03-06,42.32,42.87,40.59,42.26,47084315,0
2019-03-07,41.82,42.19,40.96,41.45,30791948,0
2019-03-08,40.65,40.90,38.56,38.56,43433091,0
2019-03-11,38.37,39.42,37.94,39.23,28381592,0
2019-03-12,39.60,41.45,39.54,40.53,36857526,0
2019-03-13,40.59,43.06,40.16,42.32,66249588,0
2019-03-14,41.82,43.37,40.71,41.21,30637585,0
2019-03-15,41.21,43.37,41.08,42.63,40786345,0
2019-03-18,44.11,44.60,42.01,44.48,83091072,0
2019-03-19,44.97,46.57,44.23,44.60,55146846,0
2019-03-20,44.42,45.16,43.31,44.72,40684596,0
2019-03-21,45.22,47.25,45.22,46.14,55316786,0
2019-03-22,46.14,46.57,44.66,45.71,28581387,0
2019-03-25,45.03,47.07,44.79,45.65,35699919,0
2019-03-26,45.90,46.27,44.29,44.48,28840101,0
2019-03-27,44.85,45.71,44.11,45.59,25008981,0
2019-03-28,45.22,45.53,42.32,43.49,50904076,0
2019-03-29,43.55,45.83,42.87,45.53,44463725,0
2019-04-01,46.14,49.97,46.14,47.75,60329814,0
2019-04-02,48.12,48.98,47.25,47.44,32814183,0
2019-04-03,47.07,49.17,46.88,48.18,38266766,0
2019-04-04,48.18,48.73,47.44,48.12,37705771,0
2019-04-08,48.61,49.04,46.64,47.50,34287608,0
2019-04-09,47.93,52.25,47.93,52.19,86350944,0
2019-04-10,51.20,52.00,50.09,50.46,54623833,0
2019-04-11,50.58,50.71,47.69,48.73,46311766,0
2019-04-12,48.73,49.60,47.93,48.55,22039044,0
2019-04-15,49.47,50.40,47.93,47.99,29100337,0
2019-04-16,47.56,47.56,44.11,46.64,57899677,0
2019-04-17,46.64,46.82,44.91,46.14,49989611,0
2019-04-18,46.08,46.20,44.72,44.85,31323162,0
2019-04-19,45.03,45.83,44.48,45.46,24658649,0
2019-04-22,44.17,44.66,42.44,42.75,49223284,0
2019-04-23,43.06,43.49,42.63,42.94,28419837,0
2019-04-24,43.18,43.24,42.13,42.94,22761672,0
2019-04-25,43.00,44.05,42.56,42.69,27228135,0
2019-04-26,42.44,43.68,42.26,43.00,20444187,0
2019-04-29,43.49,44.17,42.94,43.37,26034447,0
2019-04-30,43.55,43.80,42.44,42.94,26893143,0
2019-05-06,41.27,41.27,38.62,38.62,42834440,0
2019-05-07,39.42,40.28,38.80,40.16,32727537,0
2019-05-08,39.65,40.99,39.00,40.16,21377340,0
2019-05-09,40.99,41.19,38.87,40.22,30192897,0
2019-05-10,39.97,41.25,38.75,41.12,38106715,0
2019-05-13,40.29,40.35,39.39,39.90,17231460,0
2019-05-14,39.52,40.09,39.45,39.52,16125467,0
2019-05-15,39.84,40.67,39.65,40.35,20969977,0
2019-05-16,40.35,40.67,40.09,40.61,14244323,0
2019-05-17,40.93,42.28,39.71,39.97,24703213,0
2019-05-20,39.77,39.97,38.49,39.39,16866720,0
2019-05-21,39.26,40.54,39.20,39.97,19210074,0
2019-05-22,39.97,40.16,39.00,39.39,19909744,0
2019-05-23,39.32,39.32,38.36,38.62,15441018,0
2019-05-24,38.62,38.94,37.01,37.52,17945658,0
2019-05-27,37.72,38.81,37.27,38.42,22442604,0
2019-05-28,38.55,38.94,38.23,38.55,17600108,0
2019-05-29,38.36,38.55,37.72,37.91,19127483,0
2019-05-30,37.65,38.30,37.27,38.04,11588060,0
2019-05-31,38.10,38.23,37.33,38.04,15688536,0
2019-06-03,37.78,38.42,37.46,37.72,14218221,0
2019-06-04,37.72,37.72,36.50,36.69,17773885,0
2019-06-05,37.07,38.36,36.82,37.52,31164015,0
2019-06-06,37.65,37.72,36.43,36.63,14177386,0
2019-06-10,36.95,38.10,36.43,37.97,30583349,0
2019-06-11,38.49,40.29,38.42,39.97,40383121,0
2019-06-12,39.90,40.54,39.71,39.97,17856973,0
2019-06-13,40.09,40.42,39.20,39.77,16055668,0
2019-06-14,40.16,42.02,40.09,40.93,40203540,0
2019-06-17,40.93,41.77,40.09,40.54,17937663,0
2019-06-18,40.42,40.61,39.65,40.22,13631836,0
2019-06-19,41.06,41.51,40.09,40.22,19107315,0
2019-06-20,40.35,41.96,40.03,41.12,19016229,0
2019-06-21,41.25,41.89,40.87,41.19,18539799,0
2019-06-24,41.25,41.57,40.93,41.44,14599477,0
2019-06-25,41.51,41.57,39.84,40.61,15123395,0
2019-06-26,40.48,41.19,39.20,40.61,13263345,0
2019-06-27,40.99,41.25,40.42,40.93,14226637,0
2019-06-28,40.93,40.93,39.71,39.97,14049029,0
2019-07-01,40.48,41.19,39.90,40.74,26329302,0
2019-07-02,40.48,40.54,39.71,40.29,26206356,0
2019-07-03,39.97,42.09,39.90,41.38,36016016,0
2019-07-04,40.99,43.11,40.93,42.09,39789479,0
2019-07-05,41.77,42.92,40.99,41.12,25793071,0
2019-07-08,40.93,41.12,39.32,39.58,28225709,0
2019-07-09,39.39,40.16,39.32,39.52,14768288,0
2019-07-10,39.84,39.90,37.52,37.72,38457909,0
2019-07-11,38.49,40.09,38.42,39.52,47870843,0
2019-07-12,39.65,40.22,39.26,39.39,22756246,0
2019-07-15,39.58,40.67,38.87,40.22,36801298,0
2019-07-16,40.48,41.44,40.35,41.25,25414313,0
2019-07-17,41.44,41.89,40.87,41.19,27034988,0
2019-07-18,41.19,41.25,39.90,40.22,33570044,0
2019-07-19,40.61,41.96,40.54,41.77,34785948,0
2019-07-22,41.89,41.89,40.48,40.67,25640115,0
2019-07-23,41.70,41.96,40.09,40.67,28578170,0
2019-07-24,40.93,40.93,40.22,40.54,30055770,0
2019-07-25,40.54,40.61,39.39,40.09,30825858,0
2019-07-26,40.03,41.06,39.84,40.99,26850889,0
2019-07-29,41.25,41.38,40.09,40.22,24511920,0
2019-07-30,40.16,40.80,40.16,40.29,18858021,0
2019-07-31,40.09,40.09,39.07,39.26,34809343,0
2019-08-01,39.20,39.26,38.23,38.49,24750223,0
2019-08-02,37.59,38.04,36.82,37.33,29441933,0
2019-08-05,37.14,37.33,36.75,36.95,19264205,0
2019-08-06,36.11,37.52,35.85,37.27,25876387,0
2019-08-07,37.40,37.65,36.75,37.59,19789313,0
2019-08-08,37.59,37.72,36.95,37.14,12992845,0
2019-08-09,37.27,37.46,36.30,36.63,16901205,0
2019-08-12,36.50,37.01,36.37,36.95,11660901,0
2019-08-13,36.75,36.75,36.05,36.43,9968583,0
2019-08-14,36.88,37.07,36.24,36.37,9669538,0
2019-08-15,35.66,36.69,35.34,36.56,11650134,0
2019-08-16,36.63,36.95,36.18,36.30,14126536,0
2019-08-19,36.56,37.91,36.37,37.72,19361391,0
2019-08-20,37.91,38.23,37.59,38.10,14463046,0
2019-08-21,37.85,38.81,37.78,38.68,14481394,0
2019-08-22,38.75,38.94,38.49,38.87,11639517,0
2019-08-23,39.13,39.71,38.94,39.58,31177820,0
2019-08-26,39.26,39.77,38.68,39.20,19711444,0
2019-08-27,39.32,39.77,38.75,38.94,19536716,0
2019-08-28,38.94,39.20,38.36,38.94,16074163,0
2019-08-29,39.13,39.26,37.59,37.78,23687824,0
2019-08-30,38.30,38.30,36.50,36.69,22302496,0
2019-09-02,36.69,37.27,36.30,37.27,23730272,0
2019-09-03,37.33,37.33,36.75,37.14,15053116,0
2019-09-04,36.88,38.42,36.75,38.42,27495327,0
2019-09-05,38.75,39.52,38.55,38.75,27268163,0
2019-09-06,39.20,39.45,38.75,39.07,17861935,0
2019-09-09,39.58,39.90,39.32,39.58,20548980,0
2019-09-10,39.58,39.77,38.87,39.13,13009388,0
2019-09-11,39.07,39.39,38.62,38.87,13790449,0
2019-09-12,39.13,40.80,39.13,40.74,41129912,0
2019-09-16,40.80,41.25,40.29,40.61,26742273,0
2019-09-17,40.54,40.80,39.90,40.03,17419405,0
2019-09-18,40.29,41.38,39.97,41.12,23153369,0
2019-09-19,41.12,41.38,40.29,40.48,24774659,0
2019-09-20,40.48,40.87,40.16,40.42,14562866,0
2019-09-23,40.48,40.54,39.13,39.65,14999183,0
2019-09-24,39.65,39.77,38.81,39.20,15754104,0
2019-09-25,39.45,40.03,39.07,39.71,15663310,0
2019-09-26,39.58,39.97,38.94,39.20,17979898,0
2019-09-27,39.39,39.39,38.49,38.68,18770114,0
2019-09-30,38.55,39.26,38.49,38.62,12006860,0
2019-10-08,39.13,40.99,38.49,40.35,32498707,0
2019-10-09,40.22,41.83,40.09,41.51,38595246,0
2019-10-10,41.57,42.99,41.32,42.41,37325258,0
2019-10-11,43.05,43.18,41.89,42.73,24980915,0
2019-10-14,43.11,45.81,42.92,44.34,49721604,0
