trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2021-07-14,000612.SZ,7.8,7.82,7.49,7.54,7.82,-0.28,-3.5806,525390.42,399153.708
2021-07-15,000612.SZ,7.51,7.9,7.37,7.79,7.54,0.25,3.3156,559033.77,427810.082
2021-07-16,000612.SZ,7.85,8.57,7.74,8.57,7.79,0.78,10.0128,880262.21,741645.012
2021-07-19,000612.SZ,8.56,9.29,8.41,8.67,8.57,0.1,1.1669,1955309.19,1725109.418
2021-07-20,000612.SZ,8.3,8.65,8.25,8.46,8.67,-0.21,-2.4221,1000856.63,846807.349
2021-07-21,000612.SZ,8.43,8.88,8.26,8.74,8.46,0.28,3.3097,1332395.22,1143225.981
2021-07-22,000612.SZ,8.3,8.68,8.11,8.54,8.74,-0.2,-2.2883,1536921.58,1291633.734
2021-07-23,000612.SZ,8.42,9.11,8.41,8.86,8.54,0.32,3.7471,1619129.61,1433584.695
2021-07-26,000612.SZ,8.97,9.06,8.47,8.72,8.86,-0.14,-1.5801,1118227.44,978163.936
2021-07-27,000612.SZ,8.77,8.95,8.03,8.09,8.72,-0.63,-7.2248,1195508.63,1027763.679
2021-07-28,000612.SZ,7.92,8.2,7.51,7.75,8.09,-0.34,-4.2027,787049.04,617604.29
2021-07-29,000612.SZ,7.87,8.53,7.87,8.53,7.75,0.78,10.0645,577424.69,480576.378
2021-07-30,000612.SZ,8.76,8.96,8.55,8.88,8.53,0.35,4.1032,1540729.33,1349736.715
2021-08-02,000612.SZ,8.87,8.99,8.59,8.8,8.88,-0.08,-0.9009,981591.93,859987.04
2021-08-03,000612.SZ,8.77,8.79,8.13,8.19,8.8,-0.61,-6.9318,941674.07,792862.667
2021-08-04,000612.SZ,8.29,8.53,8.13,8.47,8.19,0.28,3.4188,793625.54,664414.766
2021-08-05,000612.SZ,8.35,8.47,8.16,8.26,8.47,-0.21,-2.4793,610744.72,506099.257
2021-08-06,000612.SZ,8.27,8.81,8.27,8.65,8.26,0.39,4.7215,993393.04,853753.943
2021-08-09,000612.SZ,8.64,8.95,8.45,8.88,8.65,0.23,2.659,1045621.11,916351.256
2021-08-10,000612.SZ,8.84,9.02,8.68,8.94,8.88,0.06,0.6757,969697.2,859322.476
2021-08-11,000612.SZ,9.04,9.23,8.87,8.93,8.94,-0.01,-0.1119,1154698.31,1043552.415
2021-08-12,000612.SZ,8.86,9.54,8.8,9.29,8.93,0.36,4.0314,1468499.05,1357445.95
2021-08-13,000612.SZ,9.17,9.45,9.08,9.35,9.29,0.06,0.6459,1048257.45,972839.242
