,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
123,000061.SZ,20100129,8.0564,7.3851,8.6133,6.8698,7.2237,0.8327,11.5273,554235735.0,8341260032.0
122,000061.SZ,20100226,8.0877,8.223,8.4988,7.3382,8.0564,0.031299999999999883,0.3885,180811659.0,2751160784.0
121,000061.SZ,20100331,7.5464,8.0668,8.5092,7.2862,8.0877,-0.5412999999999997,-6.6929,257542911.0,3799704604.0
120,000061.SZ,20100430,7.7962,7.5568,8.4988,7.13,7.5464,0.24979999999999958,3.3102,449058458.0,6733390058.0
119,000061.SZ,20100531,8.3271,7.5464,8.8475,7.1925,7.7962,0.5308999999999999,6.8097,247452536.0,3863039456.0
118,000061.SZ,20100630,8.3164,8.353,9.3114,8.044,8.3792,-0.06280000000000108,-0.7495,160390796.0,2652168536.0
117,000061.SZ,20100730,8.8086,8.3164,8.9815,7.3318,8.3164,0.4922000000000004,5.9184,176974549.0,2789740040.0
116,000061.SZ,20100831,9.7408,8.8139,9.9974,8.5887,8.8086,0.9321999999999999,10.5828,254804801.0,4568891536.0
115,000061.SZ,20100930,11.1548,9.7356,11.5214,9.4161,9.7408,1.4139999999999997,14.5163,189983528.0,3729880024.0
114,000061.SZ,20101029,11.469,11.3276,12.6736,10.2226,11.1548,0.3141999999999996,2.8167,207542013.0,4546792450.0
113,000061.SZ,20101130,10.5735,11.5738,12.9878,9.9451,11.469,-0.8955000000000002,-7.808,269255818.0,5920291706.0
112,000061.SZ,20101231,9.2224,10.5735,10.9087,8.5363,10.5735,-1.3510999999999989,-12.7782,236846864.0,4390477864.0
111,000061.SZ,20110131,8.9553,9.2957,9.4004,8.0388,9.2224,-0.267100000000001,-2.8962,195237389.0,3237602496.0
110,000061.SZ,20110228,9.8142,8.9972,9.8194,8.683,8.9553,0.8589000000000002,9.591,242858217.0,4312230750.0
109,000061.SZ,20110331,8.7458,9.8142,9.8718,8.4735,9.8142,-1.0684000000000005,-10.8863,220256070.0,3842958800.0
108,000061.SZ,20110429,9.7932,8.7458,10.2907,8.6201,8.7458,1.0474000000000014,11.976,344351833.0,6384899258.0
107,000061.SZ,20110531,8.6044,9.0496,9.7408,8.3007,9.7932,-1.1888000000000005,-12.139,142458266.0,2476475280.0
106,000061.SZ,20110630,8.4162,8.6219,9.2283,7.6991,8.6641,-0.24789999999999957,-2.8612,107509865.0,1696981824.0
105,000061.SZ,20110729,8.9383,8.4426,9.3285,8.1209,8.4162,0.5221,6.2035,149525781.0,2478082936.0
104,000061.SZ,20110831,7.9416,8.9225,9.0174,7.7571,8.9383,-0.9966999999999997,-11.1509,92154807.0,1435456824.0
103,000061.SZ,20110930,7.1506,8.0102,8.0418,6.9608,7.9416,-0.7910000000000004,-9.9602,93462840.0,1329345566.0
102,000061.SZ,20111031,7.1928,7.1875,7.3616,6.5442,7.1506,0.04220000000000024,0.5902,72593064.0,959994768.0
101,000061.SZ,20111130,7.1612,7.1084,8.0946,6.9977,7.1928,-0.03160000000000007,-0.4393,80749763.0,1165674362.0
100,000061.SZ,20111230,5.8798,7.3036,7.4881,5.5054,7.1612,-1.2813999999999997,-17.8936,73141285.0,896186186.0
99,000061.SZ,20120131,5.653,5.9589,6.1592,5.2944,5.8798,-0.22680000000000078,-3.8573,77542333.0,836968704.0
98,000061.SZ,20120229,6.2225,5.6636,6.5073,5.5792,5.653,0.5695000000000006,10.0743,172386955.0,1988116628.0
97,000061.SZ,20120330,5.6425,6.2278,6.7129,5.5264,6.2225,-0.5800000000000001,-9.321,189382388.0,2254288716.0
96,000061.SZ,20120427,6.2647,5.6583,6.6708,5.479,5.6425,0.6222000000000003,11.027,191292526.0,2224530888.0
95,000061.SZ,20120531,6.5282,11.5056,12.3384,6.2889,11.3716,-4.843400000000001,-42.5921,188268020.0,1615408368.0
94,000061.SZ,20120629,5.5518,6.4133,6.4133,5.3795,6.5282,-0.9763999999999999,-14.9566,85508079.0,532163668.0
93,000061.SZ,20120731,4.9679,5.6092,5.6954,4.786,5.5518,-0.5838999999999999,-10.5173,309203163.0,1668250804.0
92,000061.SZ,20120831,5.2168,4.9679,5.6858,4.8818,4.9679,0.2488999999999999,5.0102,240912559.0,1339846546.0
91,000061.SZ,20120928,5.3987,5.2168,5.973,5.0636,5.2168,0.18189999999999973,3.4868,185215229.0,1068901130.0
90,000061.SZ,20121031,4.8722,5.4178,5.6475,4.7765,5.3987,-0.5264999999999995,-9.7523,127252510.0,705401104.0
89,000061.SZ,20121130,4.25,4.8626,5.1881,4.2117,4.8722,-0.6222000000000003,-12.7704,188960104.0,933566238.0
88,000061.SZ,20121231,5.4561,4.25,6.1548,3.9246,4.25,1.2061000000000002,28.3788,713361068.0,4021425556.0
87,000061.SZ,20130131,5.9443,5.5231,6.0591,5.2264,5.4561,0.48819999999999997,8.9478,662077328.0,3952286912.0
86,000061.SZ,20130228,5.6954,5.9921,6.2793,5.5422,5.9443,-0.2488999999999999,-4.1872,329926762.0,2028798520.0
85,000061.SZ,20130329,5.3987,5.7145,5.8964,5.1019,5.6954,-0.2967000000000004,-5.2095,303240588.0,1727157942.0
84,000061.SZ,20130426,5.2168,5.4082,5.6284,4.8818,5.3987,-0.18189999999999973,-3.3693,181562035.0,1012303160.0
83,000061.SZ,20130531,6.9972,5.1498,7.8204,5.1402,5.2168,1.7804000000000002,34.1282,537061055.0,3661704528.0
82,000061.SZ,20130628,5.7993,7.0633,7.5458,5.5387,7.0537,-1.2544000000000004,-17.7836,334360800.0,2243608936.0
81,000061.SZ,20130731,6.0791,5.7414,6.8704,5.6063,5.7993,0.2798000000000007,4.8247,440115838.0,2868371836.0
80,000061.SZ,20130830,6.2721,6.1467,7.1405,6.0695,6.0791,0.19299999999999962,3.1748,422466789.0,2921380648.0
79,000061.SZ,20130930,7.1019,6.2817,7.6134,6.2142,6.2721,0.8297999999999996,13.23,496105439.0,3573415424.0
78,000061.SZ,20131031,8.4722,7.044,9.5336,7.044,7.1019,1.3703000000000012,19.2948,801047436.0,7087585442.0
77,000061.SZ,20131129,8.202,8.4722,8.8292,7.266,8.4722,-0.2702000000000009,-3.1893,591170405.0,4815845104.0
76,000061.SZ,20131231,8.1248,8.202,8.4722,7.4783,8.202,-0.07719999999999949,-0.9412,347243994.0,2879473284.0
