,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
72,000557.SZ,20100129,5.01,4.87,5.36,4.56,4.86,0.14999999999999947,3.0864,289326993.0,1409359318.0
71,000557.SZ,20100226,5.4,5.04,5.59,4.65,5.01,0.39000000000000057,7.7844,209682940.0,1069334820.0
70,000557.SZ,20100331,5.3,5.4,5.79,5.1,5.4,-0.10000000000000053,-1.8519,346166502.0,1903263080.0
69,000557.SZ,20100430,5.43,5.29,6.53,5.22,5.3,0.1299999999999999,2.4528,540646644.0,3175874312.0
68,000557.SZ,20100531,4.39,5.35,5.74,4.01,5.43,-1.04,-19.1529,214122670.0,1017099988.0
67,000557.SZ,20100630,4.53,4.33,5.49,4.11,4.39,0.14000000000000057,3.1891,170790576.0,845265121.0
66,000557.SZ,20100730,5.14,4.42,5.23,4.41,4.53,0.6099999999999994,13.4658,121920788.0,597946713.0
65,000557.SZ,20100831,5.19,5.14,5.55,4.98,5.14,0.05000000000000071,0.9728,227607322.0,1198089696.0
64,000557.SZ,20100930,5.31,5.2,5.61,4.83,5.19,0.11999999999999922,2.3121,139712698.0,727321860.0
63,000557.SZ,20101029,6.69,5.04,6.69,5.04,5.31,1.3800000000000008,25.9887,416675003.0,2398941200.0
62,000557.SZ,20101130,7.0,6.83,7.17,6.56,6.69,0.3099999999999996,4.6338,173226588.0,1193264192.0
61,000557.SZ,20141231,6.32,6.65,6.65,6.32,7.0,-0.6799999999999997,-9.7143,6790800.0,44910330.0
60,000557.SZ,20150130,5.53,6.0,6.28,5.21,6.32,-0.79,-12.5,606287328.0,3416303496.23
59,000557.SZ,20150227,5.93,5.53,5.93,5.11,5.53,0.39999999999999947,7.2333,209402045.0,1144759272.96
58,000557.SZ,20150331,6.89,6.05,7.53,5.8,5.93,0.96,16.1889,573935899.0,3726325283.86
57,000557.SZ,20150430,9.06,6.91,9.06,6.86,6.89,2.170000000000001,31.4949,448776383.0,3386916683.73
56,000557.SZ,20150529,9.54,9.36,10.89,8.89,9.06,0.47999999999999865,5.298,607229312.0,5986990177.24
55,000557.SZ,20150630,8.93,9.58,12.88,8.93,9.54,-0.6099999999999994,-6.3941,650105952.0,7026230412.23
54,000557.SZ,20150731,6.75,8.65,9.0,6.33,8.93,-2.1799999999999997,-24.4121,385409097.0,2765602183.01
53,000557.SZ,20150831,5.18,6.68,7.37,5.07,6.75,-1.5700000000000003,-23.2593,374237774.0,2436014349.57
52,000557.SZ,20150930,6.54,5.22,7.67,5.16,5.18,1.3600000000000003,26.2548,321276558.0,2086330745.81
51,000557.SZ,20151030,6.86,6.65,7.42,6.47,6.54,0.3200000000000003,4.893,188646196.0,1303989146.31
