,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
125,000521.SZ,20100129,7.255,8.0934,8.5988,7.1318,8.0934,-0.8384000000000009,-10.3591,239672129.0,3018215672.0
124,000521.SZ,20100226,7.4461,7.255,7.5509,6.6571,7.255,0.1911000000000005,2.634,101171389.0,1167899920.0
123,000521.SZ,20100331,7.0147,7.4215,7.8221,6.8482,7.4461,-0.4314,-5.7936,158503350.0,1851456128.0
122,000521.SZ,20100430,7.3968,7.0516,7.7975,6.3366,7.0147,0.38209999999999944,5.4471,254693229.0,2956529824.0
121,000521.SZ,20100531,6.503,7.2859,8.044,6.1024,7.3968,-0.8937999999999997,-12.0836,222599310.0,2540627296.0
120,000521.SZ,20100630,5.3874,6.4476,6.7249,5.2887,6.503,-1.1155999999999997,-17.1552,111380812.0,1142107700.0
119,000521.SZ,20100730,6.4537,5.4675,6.4784,4.999,5.3874,1.0663,19.7925,198553591.0,1901492982.0
118,000521.SZ,20100831,6.3366,6.4229,6.7003,5.9668,6.4537,-0.11710000000000065,-1.8145,202090772.0,2082611096.0
117,000521.SZ,20100930,6.6078,6.3366,7.0208,6.1147,6.3366,0.27120000000000033,4.2799,242150773.0,2580817096.0
116,000521.SZ,20101029,7.2982,6.6325,7.4585,6.3859,6.6078,0.6903999999999995,10.4483,234412561.0,2648611872.0
115,000521.SZ,20101130,6.9777,7.2797,7.8776,6.5647,7.2982,-0.3205,-4.3915,218809217.0,2603850952.0
114,000521.SZ,20101231,7.064,6.9777,8.1488,6.7804,6.9777,0.08630000000000049,1.2368,257945926.0,3132554168.0
113,000521.SZ,20110131,6.7003,7.1009,7.255,6.275,7.064,-0.3636999999999997,-5.1486,81460044.0,901417504.0
112,000521.SZ,20110228,7.6311,6.6756,7.6927,6.4907,6.7003,0.9307999999999996,13.8919,104059155.0,1227671596.0
111,000521.SZ,20110331,7.1133,7.6249,8.044,7.1133,7.6311,-0.5178000000000003,-6.7854,134644966.0,1655583204.0
110,000521.SZ,20110429,6.6571,7.1009,7.3598,6.4969,7.1133,-0.45619999999999994,-6.4133,59035288.0,655205618.0
109,000521.SZ,20110531,5.751,6.6571,6.7373,5.6339,6.6571,-0.9060999999999995,-13.611,45301829.0,473462702.0
108,000521.SZ,20110630,5.6586,5.7695,5.8127,5.0976,5.751,-0.09240000000000048,-1.6067,59254887.0,534937717.0
107,000521.SZ,20110729,5.6277,5.6771,5.9483,5.3627,5.6586,-0.030899999999999928,-0.5461,69776765.0,651370666.0
106,000521.SZ,20110831,5.248,6.7963,6.8187,4.9874,6.7963,-1.5482999999999993,-22.7815,41938831.0,313245663.0
105,000521.SZ,20110930,4.4813,5.2778,5.5681,4.3175,5.248,-0.7667000000000002,-14.6094,79755075.0,547182307.0
104,000521.SZ,20111031,4.4143,4.4664,4.6822,3.9825,4.4813,-0.06700000000000017,-1.4951,24055027.0,141820859.0
103,000521.SZ,20111130,3.9751,4.3919,4.6599,3.9155,4.4143,-0.43920000000000003,-9.9495,60630804.0,359658294.0
102,000521.SZ,20111230,3.2977,4.0718,4.0942,3.2307,3.9751,-0.6774,-17.0411,26652876.0,128774062.0
101,000521.SZ,20120131,3.2232,3.3423,3.4912,3.0074,3.2977,-0.07450000000000001,-2.2592,130921079.0,582839893.0
100,000521.SZ,20120229,3.722,3.2232,4.0644,3.1786,3.2232,0.49880000000000013,15.4753,223926367.0,1083360704.0
99,000521.SZ,20120330,3.3349,3.7145,4.444,3.2977,3.722,-0.3870999999999998,-10.4003,344288029.0,1873974810.0
98,000521.SZ,20120427,3.8411,3.3498,3.9304,3.3051,3.3349,0.5061999999999998,15.1789,121592704.0,597723853.0
97,000521.SZ,20120531,3.8634,3.9006,3.9825,3.5359,3.8411,0.022299999999999986,0.5806,241962074.0,1239300592.0
96,000521.SZ,20120629,3.3572,3.8634,3.923,3.2753,3.8634,-0.5061999999999998,-13.1024,71909897.0,352113365.0
95,000521.SZ,20120731,3.0818,3.387,3.4317,3.0371,3.3572,-0.2754000000000003,-8.2033,55188619.0,240019306.0
