,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
102,000545.SZ,20100129,4.2605,4.2605,4.4805,4.2125,4.2605,0.0,0.0,27391272.0,297841776.0
101,000545.SZ,20100226,4.0525,4.6846,4.6846,3.7444,4.2605,-0.20800000000000018,-4.8821,46536082.0,469963594.0
100,000545.SZ,20100331,4.2925,4.0405,4.4285,3.6724,4.0525,0.2400000000000002,5.9223,117727484.0,1211905986.0
99,000545.SZ,20100430,4.6525,4.3165,5.8407,4.2885,4.2925,0.35999999999999943,8.3867,267512705.0,3378688540.0
98,000545.SZ,20100531,4.1565,4.5765,4.9886,3.7684,4.6525,-0.49599999999999955,-10.6609,104642859.0,1149507266.0
97,000545.SZ,20100630,3.4364,4.1325,4.1485,3.4004,4.1565,-0.7201000000000004,-17.3247,57997212.0,566813666.0
96,000545.SZ,20100730,3.8285,3.4364,3.9885,3.1204,3.4364,0.3921000000000001,11.4102,67553407.0,605685608.0
95,000545.SZ,20100831,4.1045,3.7924,4.2405,3.7844,3.8285,0.2759999999999998,7.2091,103513065.0,1035767232.0
94,000545.SZ,20100930,4.2365,4.1325,4.5925,4.0725,4.1045,0.13200000000000056,3.216,113872930.0,1242113754.0
93,000545.SZ,20101029,3.9405,4.2685,4.3285,3.5604,4.2365,-0.29600000000000026,-6.9869,85638723.0,856612098.0
92,000545.SZ,20101130,3.7924,3.9365,4.3205,3.6244,3.9405,-0.1480999999999999,-3.7584,112361475.0,1115233400.0
91,000545.SZ,20101231,3.7124,3.7924,3.9405,3.5084,3.7924,-0.08000000000000007,-2.1095,85352676.0,798012532.0
90,000545.SZ,20110131,3.1004,3.7004,3.7444,2.9924,3.7124,-0.6120000000000001,-16.4853,50980660.0,435429676.0
89,000545.SZ,20110228,3.6444,3.1004,3.7604,3.0804,3.1004,0.544,17.5461,49857415.0,427781443.0
88,000545.SZ,20110429,3.5604,3.4004,4.2005,3.3204,3.6444,-0.08400000000000007,-2.3049,176064625.0,1668112720.0
87,000545.SZ,20110531,3.5124,3.5564,3.7724,3.2364,3.5604,-0.04800000000000004,-1.3482,56931895.0,507548672.0
86,000545.SZ,20110630,4.0005,3.4444,4.0805,3.3684,3.5124,0.48809999999999976,13.8965,60415341.0,577070588.0
85,000545.SZ,20110729,4.5045,3.9965,4.5125,3.9965,4.0005,0.5040000000000004,12.5984,47477985.0,513129628.0
84,000545.SZ,20110930,3.0964,4.2805,4.2805,3.0124,4.5045,-1.4081000000000001,-31.2599,71974770.0,618997337.0
83,000545.SZ,20111031,3.2124,3.1124,3.3004,2.9643,3.0964,0.1160000000000001,3.7463,45540984.0,360932213.0
82,000545.SZ,20111130,3.2404,3.1804,3.5404,3.1204,3.2124,0.028000000000000025,0.8716,44834301.0,374379143.0
81,000545.SZ,20111230,2.4923,3.3044,3.3324,2.1483,3.2404,-0.7481,-23.0867,32818113.0,218673334.0
80,000545.SZ,20120131,2.6283,2.5043,2.6603,2.2443,2.4923,0.13599999999999968,5.4568,11224426.0,68750226.0
79,000545.SZ,20120229,2.8003,2.6283,2.8883,2.5323,2.6283,0.17200000000000015,6.5442,28192893.0,192907476.0
78,000545.SZ,20120330,2.7883,2.7803,3.0804,2.7043,2.8003,-0.01200000000000001,-0.4285,34999783.0,250597004.0
77,000545.SZ,20120427,2.4803,2.7883,2.9844,2.4403,2.7883,-0.30799999999999983,-11.0462,85332590.0,557419480.0
76,000545.SZ,20130731,4.3182,3.6079,4.7091,3.6079,2.4804,1.8378,74.0929,149415810.0,1705971488.0
75,000545.SZ,20130830,3.98,4.2844,5.0962,3.8071,4.3182,-0.33820000000000006,-7.832,487460770.0,5610058864.0
74,000545.SZ,20130930,3.901,3.9574,4.431,3.8033,3.98,-0.07900000000000018,-1.9849,156831171.0,1716628056.0
73,000545.SZ,20131031,3.5553,3.8597,4.7805,3.544,3.901,-0.3456999999999999,-8.8618,206923177.0,2328163500.0
72,000545.SZ,20131129,3.8184,3.5553,4.0138,3.5139,3.5553,0.2631000000000001,7.4002,89560042.0,898165058.0
71,000545.SZ,20131231,3.5177,3.6831,3.7357,3.2809,3.8184,-0.30069999999999997,-7.875,66998307.0,622845693.0
70,000545.SZ,20140130,3.3373,3.638,3.7282,3.2584,3.5177,-0.18040000000000012,-5.1284,69155469.0,638891469.0
69,000545.SZ,20140228,3.7319,3.3373,4.1265,3.2885,3.3373,0.39460000000000006,11.8239,103657938.0,1042230190.0
68,000545.SZ,20140331,3.6643,3.7394,4.0138,3.42,3.7319,-0.0676000000000001,-1.8114,107876583.0,1077819674.0
67,000545.SZ,20140430,3.1268,3.6455,3.9349,3.0367,3.6643,-0.5375000000000001,-14.6686,84230699.0,828066874.0
66,000545.SZ,20140530,3.2734,3.1118,3.7206,3.0442,3.1268,0.14660000000000029,4.6885,82272958.0,733455188.0
65,000545.SZ,20140630,3.4237,3.2509,3.559,3.1456,3.2734,0.1503000000000001,4.5916,95290520.0,851260454.0
64,000545.SZ,20140731,3.9386,3.4012,4.1265,3.3749,3.4237,0.5148999999999999,15.0393,181497064.0,1790733322.55
63,000545.SZ,20140829,3.8484,3.9274,4.2092,3.7545,3.9386,-0.09020000000000028,-2.2902,147229779.0,1546313607.2
62,000545.SZ,20140930,4.6151,3.8484,4.664,3.8484,3.8484,0.7667000000000002,19.9226,154479274.0,1738453483.15
61,000545.SZ,20141031,5.2052,4.6151,5.5096,4.4422,4.6151,0.5900999999999996,12.7863,184955529.0,2451612692.31
60,000545.SZ,20141128,5.4532,5.2315,5.6937,5.0623,5.2052,0.24800000000000022,4.7645,136223896.0,1942546690.52
59,000545.SZ,20141231,5.1375,5.4494,5.6937,4.7917,5.4532,-0.31569999999999965,-5.7893,128063626.0,1800408223.09
58,000545.SZ,20150130,5.6787,5.1413,6.2236,4.9346,5.1375,0.5411999999999999,10.5343,100994654.0,1488545447.39
57,000545.SZ,20150227,5.9267,5.6787,6.2011,5.3442,5.6787,0.24800000000000022,4.3672,34057118.0,520685297.64
56,000545.SZ,20150331,7.2441,7.7228,9.5155,6.9901,7.7033,-0.45919999999999916,-5.9611,184780192.0,3040778655.95
55,000545.SZ,20150430,7.4151,7.2294,8.2992,7.1806,7.2441,0.17099999999999937,2.3605,290853824.0,4565358242.41
54,000545.SZ,20150529,10.4241,7.4053,10.4241,7.3613,7.4151,3.0089999999999995,40.5794,178219493.0,3142596953.43
53,000545.SZ,20150930,7.6007,9.3787,9.3787,7.6007,10.4241,-2.8233999999999995,-27.0853,2030000.0,17557722.0
52,000545.SZ,20151030,7.5128,6.8387,8.1869,6.741,7.6007,-0.08789999999999942,-1.1565,1236441291.0,9395996542.93
51,000545.SZ,20151130,7.8352,7.3858,9.2713,7.0731,7.5128,0.3224,4.2913,974059540.0,8047062761.47
50,000545.SZ,20151231,8.8414,7.8449,10.4241,7.3467,7.8352,1.0061999999999998,12.842,1060137223.0,9735171870.87
49,000545.SZ,20160129,5.5882,8.8414,8.9391,5.3146,8.8414,-3.2532000000000005,-36.7951,871168551.0,6137038500.11
48,000545.SZ,20160229,5.2072,5.5589,6.4772,5.0411,5.5882,-0.38099999999999934,-6.8179,588952755.0,3486003012.09
47,000545.SZ,20160331,6.5749,5.2755,6.9071,5.1876,5.2072,1.3677000000000001,26.2656,1363716314.0,8619054788.73
46,000545.SZ,20160429,7.1513,6.526,7.9035,6.4283,6.5749,0.5763999999999996,8.7667,1557972213.0,11411198110.86
45,000545.SZ,20160531,6.4691,7.1857,7.7354,5.9587,7.1857,-0.7165999999999997,-9.9726,938619206.0,6497031412.28
44,000545.SZ,20160630,6.7734,6.4986,7.4213,6.3808,6.4691,0.30429999999999957,4.7039,929060124.0,6458817736.82
43,000545.SZ,20160729,6.2041,6.7538,7.333,6.1059,6.7734,-0.5692999999999993,-8.4049,765735847.0,5366047521.25
42,000545.SZ,20160831,6.2826,6.1844,6.7538,5.9881,6.2041,0.07850000000000001,1.2653,443745653.0,2872732035.11
41,000545.SZ,20160930,5.9881,6.2826,6.4593,5.8703,6.2826,-0.2945000000000002,-4.6875,235996035.0,1484174610.52
40,000545.SZ,20161031,6.1157,6.0077,6.3611,5.9587,5.9881,0.12760000000000016,2.1309,263046264.0,1642544703.41
39,000545.SZ,20161130,5.9587,6.1255,6.3317,5.8899,6.1157,-0.15700000000000003,-2.5672,481063603.0,3025594018.96
38,000545.SZ,20161230,5.7034,5.9881,6.1255,5.5954,5.9587,-0.2553000000000001,-4.2845,229926860.0,1375999509.19
37,000545.SZ,20170126,5.5758,5.7623,5.9096,5.1144,5.7034,-0.12760000000000016,-2.2373,148141636.0,852249282.24
36,000545.SZ,20170228,6.0274,5.566,6.2728,5.4678,5.5758,0.4516,8.0993,344785290.0,2066079765.67
35,000545.SZ,20170331,6.5873,6.0449,7.6227,6.0154,6.0548,0.5324999999999998,8.7947,1819280929.0,12778746940.86
34,000545.SZ,20170428,6.0449,6.5972,6.7747,5.5223,6.5873,-0.5423999999999998,-8.234,425779263.0,2685969252.33
33,000545.SZ,20170531,5.2856,6.0449,6.1633,5.0785,6.0449,-0.7593000000000005,-12.561,271397442.0,1545736830.39
32,000545.SZ,20170630,5.7688,5.2955,5.9661,5.0687,5.2856,0.4832000000000001,9.1418,413185097.0,2306897225.8
31,000545.SZ,20170731,6.5577,5.7885,6.6761,5.6505,5.7688,0.7888999999999999,13.6753,908112226.0,5661818444.58
30,000545.SZ,20170831,6.0548,6.5084,6.7944,5.8379,6.5577,-0.5028999999999995,-7.6688,770949140.0,4967177021.38
29,000545.SZ,20170929,6.0351,6.0548,6.5676,5.9759,6.0548,-0.019700000000000273,-0.3254,518843485.0,3307583961.39
28,000545.SZ,20171031,5.4829,6.0942,6.1633,5.3448,6.0351,-0.5522,-9.1498,150606619.0,890565834.83
27,000545.SZ,20171130,5.0687,5.4927,5.542,4.763,5.4829,-0.4142000000000001,-7.5544,184151868.0,956604501.02
26,000545.SZ,20171229,4.9996,5.0588,5.2856,4.763,5.0687,-0.06909999999999972,-1.3633,199374701.0,1009041749.08
25,000545.SZ,20180131,4.8123,4.9898,5.2462,4.7926,4.9996,-0.18730000000000047,-3.7463,216921250.0,1098040046.64
24,000545.SZ,20180228,4.4869,4.8123,4.8419,4.2305,4.8123,-0.32539999999999925,-6.7618,137274906.0,617033815.8
23,000545.SZ,20180330,4.2995,4.4573,4.7728,4.0332,4.4869,-0.18740000000000023,-4.1766,239344406.0,1092663132.22
22,000545.SZ,20180427,3.836,4.3094,4.3094,3.8064,4.2995,-0.46350000000000025,-10.7803,112614763.0,467448835.38
21,000545.SZ,20180531,3.55,3.89,4.0,3.5,3.89,-0.3400000000000003,-8.7404,127680179.0,493683716.01
20,000545.SZ,20180629,3.76,3.56,3.84,3.55,3.55,0.20999999999999996,5.9155,53557941.0,198269679.76
19,000545.SZ,20181130,3.74,4.14,4.14,3.55,3.76,-0.019999999999999574,-0.5319,170946182.0,666381969.32
18,000545.SZ,20181228,3.13,3.76,3.96,3.09,3.74,-0.6100000000000003,-16.3102,98193677.0,348929002.56
17,000545.SZ,20190131,3.07,3.13,3.83,3.02,3.13,-0.06000000000000005,-1.9169,257806425.0,874913243.37
16,000545.SZ,20190228,3.71,3.1,3.8,3.08,3.07,0.6400000000000001,20.8469,282201013.0,997534673.15
15,000545.SZ,20190329,3.88,3.73,4.35,3.65,3.71,0.16999999999999993,4.5822,489947997.0,1960505512.8
14,000545.SZ,20190430,3.95,3.92,4.5,3.82,3.88,0.07000000000000028,1.8041,401630236.0,1660919650.78
13,000545.SZ,20190531,3.98,3.9,4.09,3.53,3.95,0.029999999999999805,0.7595,279810497.0,1073201797.52
12,000545.SZ,20190628,3.95,3.93,4.38,3.61,3.98,-0.029999999999999805,-0.7538,376477269.0,1521797530.5
11,000545.SZ,20190731,3.42,4.0,4.02,3.4,3.95,-0.5300000000000002,-13.4177,197437651.0,746793650.27
10,000545.SZ,20190830,3.2,3.37,3.5,3.02,3.42,-0.21999999999999975,-6.4327,170384672.0,554432533.34
9,000545.SZ,20190930,3.12,3.2,3.46,3.08,3.2,-0.08000000000000007,-2.5,208967171.0,693810226.95
8,000545.SZ,20191031,2.98,3.13,3.22,2.98,3.12,-0.14000000000000012,-4.4872,75293981.0,234412439.79
7,000545.SZ,20191129,2.93,2.98,3.13,2.86,2.98,-0.04999999999999982,-1.6779,92999858.0,275113653.82
6,000545.SZ,20191231,3.04,2.92,3.07,2.9,2.93,0.10999999999999988,3.7543,114013027.0,340786178.8
5,000545.SZ,20200123,2.91,3.07,3.3,2.9,3.04,-0.1299999999999999,-4.2763,159748733.0,495767622.3
4,000545.SZ,20200228,2.86,2.62,3.24,2.37,2.91,-0.050000000000000266,-1.7182,467558361.0,1390507446.68
3,000545.SZ,20200331,2.72,2.88,3.18,2.65,2.86,-0.13999999999999968,-4.8951,251676088.0,736983327.47
2,000545.SZ,20200430,2.5,2.69,2.81,2.34,2.72,-0.2200000000000002,-8.0882,142812945.0,375694295.02
1,000545.SZ,20200529,2.55,2.5,2.66,2.41,2.5,0.04999999999999982,2.0,118019365.0,299500148.85
0,000545.SZ,20200630,2.48,2.55,2.79,2.46,2.55,-0.06999999999999984,-2.7451,153805601.0,397867376.46
