,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
124,000069.SZ,20100129,5.2748,5.9298,5.9402,4.93,5.9195,-0.6447000000000003,-10.8911,704305534.0,10910856196.0
123,000069.SZ,20100226,5.292,5.2713,5.6126,4.9955,5.2748,0.017199999999999882,0.3261,386841361.0,5958154308.0
122,000069.SZ,20100331,5.5747,5.2782,5.654,5.0335,5.292,0.2827000000000002,5.342,511628507.0,7887973082.0
121,000069.SZ,20100430,4.3853,5.5782,5.8264,3.9854,5.5747,-1.1894,-21.3357,954225112.0,13215083102.0
120,000069.SZ,20100531,4.2738,4.3259,4.5865,3.8325,4.4197,-0.14590000000000014,-3.3011,605125326.0,7323976882.0
119,000069.SZ,20100630,3.8221,4.2217,4.7603,3.8152,4.2738,-0.45169999999999977,-10.569,416844410.0,5258217332.0
118,000069.SZ,20100730,4.7047,3.7769,4.8124,3.7526,3.8221,0.8826,23.092,392128800.0,4935649680.0
117,000069.SZ,20100831,4.5691,4.7047,4.9166,4.4475,4.7047,-0.13560000000000016,-2.8822,394285001.0,5282836440.0
116,000069.SZ,20100930,4.4093,4.5518,4.5726,4.1696,4.5691,-0.15979999999999972,-3.4974,264750546.0,3338119656.0
115,000069.SZ,20101029,4.4927,4.3641,5.1772,4.2912,4.4093,0.08340000000000014,1.8915,528068852.0,7078368328.0
114,000069.SZ,20101130,4.0271,4.4719,4.9166,3.9576,4.4927,-0.46560000000000024,-10.3635,555497409.0,7055371354.0
113,000069.SZ,20101231,4.2217,4.0306,4.7081,4.0028,4.0271,0.19460000000000033,4.8323,406844550.0,5085967030.0
112,000069.SZ,20110131,4.2217,4.253,4.8645,4.1001,4.2217,0.0,0.0,424234299.0,5411768820.0
111,000069.SZ,20110228,4.4371,4.2286,4.5935,4.1348,4.2217,0.2153999999999998,5.1022,357216139.0,4488744948.0
110,000069.SZ,20110331,5.139,4.4406,5.5594,4.4406,4.4371,0.7019000000000002,15.8189,894679660.0,13025263858.0
109,000069.SZ,20110429,5.124,9.2872,9.7142,4.9607,9.2872,-4.163200000000001,-44.8273,902493973.0,9029305584.0
108,000069.SZ,20110531,4.6216,5.0424,5.1993,4.4898,5.124,-0.5023999999999997,-9.8048,503904478.0,3936744728.0
107,000069.SZ,20110630,4.967,4.584,5.0298,4.4898,4.6216,0.3453999999999997,7.4736,372707971.0,2834605944.0
106,000069.SZ,20110729,4.8351,5.011,5.3689,4.6468,4.967,-0.1318999999999999,-2.6555,497902066.0,4009540616.0
105,000069.SZ,20110831,4.6279,4.8728,5.0737,4.4646,4.8351,-0.20719999999999938,-4.2853,379693955.0,2899925940.0
104,000069.SZ,20110930,4.0125,4.6468,4.7661,3.9309,4.6279,-0.6154000000000002,-13.2976,305005308.0,2153929420.0
103,000069.SZ,20111031,4.3956,4.0125,4.7158,3.6546,4.0125,0.3830999999999998,9.5477,413474182.0,2698702408.0
102,000069.SZ,20111130,4.226,4.3391,4.7033,3.9937,4.3956,-0.16959999999999997,-3.8584,506174329.0,3502731972.0
101,000069.SZ,20111230,4.4835,4.4395,4.5965,4.2449,4.226,0.2575000000000003,6.0932,428215943.0,3027358532.0
100,000069.SZ,20120131,4.6844,4.4898,4.7221,4.0063,4.4835,0.20089999999999986,4.4809,290769115.0,2040373520.0
99,000069.SZ,20120229,4.6719,4.6656,4.923,4.3956,4.6844,-0.012500000000000178,-0.2668,780752429.0,5759123982.0
98,000069.SZ,20120330,4.4019,4.6719,4.9733,4.3265,4.6719,-0.2699999999999996,-5.7792,588182998.0,4330313296.0
97,000069.SZ,20120427,4.7661,4.3893,4.8665,4.3767,4.4019,0.3641999999999994,8.2737,454109210.0,3358242624.0
96,000069.SZ,20120531,5.0844,6.3349,6.4994,4.5085,6.2444,-1.1600000000000001,-18.5766,709591613.0,4970411500.0
95,000069.SZ,20120629,5.2489,5.0597,5.652,4.8869,5.0844,0.1645000000000003,3.2354,719306270.0,4615318576.0
94,000069.SZ,20120731,5.0926,5.2654,5.9729,4.7306,5.2489,-0.15629999999999988,-2.9778,859457552.0,5698639630.0
93,000069.SZ,20120831,4.5249,5.0926,5.2736,4.4015,5.0926,-0.5677000000000003,-11.1475,542943183.0,3126543684.0
92,000069.SZ,20120928,4.6072,4.5167,4.9281,4.2699,4.5249,0.08230000000000004,1.8188,406531310.0,2287947488.0
91,000069.SZ,20121031,4.8458,4.6237,5.142,4.4427,4.6072,0.23859999999999992,5.1789,418639150.0,2438415420.0
90,000069.SZ,20121130,4.7059,4.8293,5.1091,4.5661,4.8458,-0.1398999999999999,-2.887,473736523.0,2786188624.0
89,000069.SZ,20121231,6.1704,4.7142,6.1704,4.6977,4.7059,1.4645000000000001,31.1205,1024281230.0,6655900142.0
88,000069.SZ,20130131,5.504,6.1786,6.3843,5.4546,6.1704,-0.6664000000000003,-10.7999,1097841592.0,7782317296.0
87,000069.SZ,20130228,5.4628,5.504,5.833,5.1255,5.504,-0.0411999999999999,-0.7485,733860746.0,4881007422.0
86,000069.SZ,20130329,4.78,5.471,5.4875,4.6895,5.4628,-0.6827999999999994,-12.4991,927599562.0,5527321788.0
85,000069.SZ,20130426,4.7388,4.7964,5.0679,4.6895,4.78,-0.0411999999999999,-0.8619,709564440.0,4183662896.0
84,000069.SZ,20130531,5.2901,4.7553,5.5698,4.7306,4.7388,0.5512999999999995,11.6337,1219086160.0,7684538886.0
83,000069.SZ,20130628,4.2534,5.2654,5.3805,3.7433,5.2901,-1.0366999999999997,-19.597,654897362.0,3653533416.0
82,000069.SZ,20130731,4.9645,4.297,5.1731,4.0383,4.3137,0.6508000000000003,15.0868,1069162184.0,5883424872.0
81,000069.SZ,20130830,4.8143,4.9645,5.365,4.6724,4.9645,-0.1501999999999999,-3.0255,697316347.0,4241905552.0
80,000069.SZ,20130930,4.8393,4.8059,5.415,4.7225,4.8143,0.024999999999999467,0.5193,783265802.0,4738073136.0
79,000069.SZ,20131031,4.9228,4.8393,5.3566,4.6558,4.8393,0.08349999999999991,1.7255,854197902.0,5196004528.0
78,000069.SZ,20131129,4.5473,4.881,5.0563,4.4054,4.9228,-0.3754999999999997,-7.6278,609078543.0,3419954752.0
77,000069.SZ,20131231,4.4221,4.5139,4.6307,4.2135,4.5473,-0.12519999999999953,-2.7533,529133127.0,2811278464.0
76,000069.SZ,20140130,4.0884,4.3888,4.4388,3.788,4.4221,-0.33370000000000033,-7.5462,621002443.0,3005211212.0
75,000069.SZ,20140228,3.7713,4.055,4.2302,3.6295,4.0884,-0.31709999999999994,-7.7561,706511792.0,3384084248.0
74,000069.SZ,20140331,3.8464,3.738,4.0383,3.5878,3.7713,0.07509999999999994,1.9914,875659756.0,3969328920.0
73,000069.SZ,20140430,4.0383,3.8548,4.2553,3.7713,3.8464,0.19189999999999952,4.9891,953438813.0,4557749884.0
72,000069.SZ,20140530,4.0125,4.0802,4.1648,3.8093,4.0971,-0.08460000000000001,-2.0649,620994280.0,2910106656.0
71,000069.SZ,20140630,3.9701,4.0125,4.2749,3.9193,4.0125,-0.042400000000000215,-1.0567,491961032.0,2358031368.0
70,000069.SZ,20140731,4.6981,3.9701,4.7743,3.877,3.9701,0.7280000000000002,18.3371,1218207257.0,6124692821.3
69,000069.SZ,20140829,4.5288,4.6643,4.8928,4.4442,4.6981,-0.16929999999999978,-3.6036,869126669.0,4788509940.86
68,000069.SZ,20140930,4.6135,4.5288,4.7912,4.4611,4.5288,0.08469999999999978,1.8703,824910749.0,4471638044.05
67,000069.SZ,20141031,4.6643,4.6981,4.8082,4.3341,4.6135,0.050799999999999734,1.1011,840106623.0,4577367905.09
