,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
123,000601.SZ,20100129,5.175,5.6084,6.4581,5.0985,5.5829,-0.4079000000000006,-7.3062,460939832.0,3221047156.0
122,000601.SZ,20100226,5.6169,5.1835,5.6678,4.8861,5.175,0.4419000000000004,8.5391,153477894.0,968509776.0
121,000601.SZ,20100331,5.5234,5.5914,5.8378,5.226,5.6169,-0.09350000000000058,-1.6646,247680415.0,1617648600.0
120,000601.SZ,20100430,4.8266,5.5064,5.7783,4.7161,5.5234,-0.6967999999999996,-12.6154,261728652.0,1680133804.0
119,000601.SZ,20100531,3.9598,4.7841,4.9031,3.7559,4.8266,-0.8668,-17.9588,121543550.0,603813630.0
118,000601.SZ,20100630,3.569,3.9513,4.1468,3.535,3.9598,-0.39080000000000004,-9.8692,71133523.0,330145985.0
117,000601.SZ,20100730,4.4442,3.569,4.5377,3.382,3.569,0.8752000000000004,24.5223,325662818.0,1628240222.0
116,000601.SZ,20100831,4.9382,4.4862,5.0832,4.3327,4.4606,0.4775999999999998,10.7071,372257588.0,2031168344.0
115,000601.SZ,20100930,4.3582,4.9297,4.9638,4.273,4.9382,-0.5800000000000001,-11.7452,207699368.0,1143401752.0
114,000601.SZ,20101029,4.7676,4.4094,4.8188,4.3497,4.3582,0.40939999999999976,9.3938,370166555.0,2000665312.0
113,000601.SZ,20101130,4.8529,4.8017,6.2687,4.6397,4.7676,0.08530000000000015,1.7892,1103065726.0,6839594028.0
112,000601.SZ,20101231,4.435,4.8359,4.9979,4.273,4.8529,-0.4179000000000004,-8.6113,283598147.0,1566885188.0
111,000601.SZ,20110131,4.3412,4.4606,4.5885,4.0512,4.435,-0.09379999999999988,-2.115,139199582.0,703532548.0
110,000601.SZ,20110228,4.7676,4.3412,4.8614,4.273,4.3412,0.4264000000000001,9.8222,210451066.0,1135548206.0
109,000601.SZ,20110331,4.4691,4.742,4.8444,4.3924,4.7676,-0.29849999999999977,-6.261,335157652.0,1816079540.0
108,000601.SZ,20110429,4.7847,4.4691,5.2708,4.3412,4.4691,0.3155999999999999,7.0618,572495925.0,3271374528.0
107,000601.SZ,20110531,4.3924,4.6994,5.5352,4.1535,4.7847,-0.39229999999999965,-8.1991,604508027.0,3547878748.0
106,000601.SZ,20110630,4.0768,4.3497,4.4179,3.8721,4.3924,-0.3155999999999999,-7.1851,184605998.0,900353960.0
105,000601.SZ,20110729,3.9574,4.0768,4.3668,3.8295,4.0768,-0.11940000000000062,-2.9288,207346739.0,1010528020.0
104,000601.SZ,20110831,3.6248,4.0447,4.0447,3.3934,3.9761,-0.35130000000000017,-8.8353,126655150.0,549125746.0
103,000601.SZ,20110930,3.3506,3.6334,3.6591,3.2735,3.6248,-0.2742,-7.5646,68242500.0,279575183.0
102,000601.SZ,20111031,3.402,3.3506,3.4534,3.1021,3.3506,0.05140000000000011,1.5341,64084750.0,249390288.0
101,000601.SZ,20111130,3.8048,3.3849,4.139,3.342,3.402,0.40280000000000005,11.8401,304373190.0,1349878472.0
100,000601.SZ,20111230,2.8021,3.9504,3.9847,2.6993,3.8048,-1.0027000000000004,-26.3536,145712076.0,557816798.0
99,000601.SZ,20120131,2.9135,2.8364,3.0335,2.6136,2.8021,0.11140000000000017,3.9756,85877303.0,287341285.0
98,000601.SZ,20120229,3.2906,2.905,3.4191,2.8536,2.9135,0.3771,12.9432,171035245.0,627524295.0
97,000601.SZ,20120330,2.905,3.282,3.3849,2.8364,3.2906,-0.38560000000000016,-11.7182,148896751.0,552829619.0
96,000601.SZ,20120427,3.1278,2.905,3.2049,2.8621,2.905,0.22280000000000033,7.6695,108347136.0,389915719.0
95,000601.SZ,20120531,3.0507,3.1621,3.2478,2.8621,3.1278,-0.07710000000000017,-2.465,112998304.0,407411267.0
94,000601.SZ,20120629,3.2735,3.0507,3.3592,2.9307,3.0507,0.2227999999999999,7.3032,194941142.0,725322796.0
93,000601.SZ,20120731,3.0764,3.282,3.4877,2.9992,3.2735,-0.19709999999999983,-6.0211,255404140.0,982929335.0
92,000601.SZ,20120831,2.8866,3.1193,3.2571,2.8263,3.0934,-0.20679999999999987,-6.6852,111403854.0,402580360.0
91,000601.SZ,20120928,2.9125,2.8866,3.0589,2.8091,2.8866,0.025900000000000034,0.8972,71505276.0,243551342.0
