,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
124,000539.SZ,20100129,4.7796,5.0096,5.0288,4.492,5.0032,-0.22359999999999935,-4.4691,201677680.0,1521658980.0
123,000539.SZ,20100226,4.8499,4.7412,4.8946,4.5815,4.7796,0.07029999999999959,1.4708,106226390.0,791527032.0
122,000539.SZ,20100331,4.9202,4.8435,5.1374,4.6901,4.8499,0.07030000000000047,1.4495,142519497.0,1095847368.0
121,000539.SZ,20100430,4.5879,4.8882,5.1949,4.5112,4.9202,-0.33230000000000004,-6.7538,200461622.0,1550628296.0
120,000539.SZ,20100531,3.9936,4.5304,4.6709,3.8339,4.5879,-0.5943000000000005,-12.9536,164893175.0,1062569022.0
119,000539.SZ,20100630,4.1214,3.9617,4.2492,3.8658,3.9936,0.12780000000000058,3.2001,126344188.0,796099294.0
118,000539.SZ,20100730,4.9917,4.5367,4.9917,4.5367,4.1213,0.8704000000000001,21.1195,5222850.0,39113289.0
117,000539.SZ,20100831,4.596,5.2554,5.2554,4.5828,4.9917,-0.3956999999999997,-7.9272,242106113.0,1798655776.0
116,000539.SZ,20100930,4.451,4.6026,4.7411,4.3718,4.596,-0.14500000000000046,-3.1549,100278832.0,694351654.0
115,000539.SZ,20101029,4.5367,4.4641,4.807,4.4576,4.451,0.08570000000000011,1.9254,168431565.0,1178571768.0
114,000539.SZ,20101130,4.0883,4.5894,4.7279,4.0289,4.5367,-0.44839999999999947,-9.8838,293848127.0,1984727368.0
113,000539.SZ,20101231,3.8773,4.0949,4.3059,3.8113,4.0883,-0.2110000000000003,-5.1611,109926406.0,684097932.0
112,000539.SZ,20110131,3.8509,3.8905,3.963,3.6926,3.8773,-0.026399999999999757,-0.6809,62800600.0,364645260.0
111,000539.SZ,20110228,4.141,3.8509,4.1608,3.7652,3.8509,0.2900999999999998,7.5333,81628020.0,490917529.0
110,000539.SZ,20110331,4.1279,4.1213,4.5828,4.0223,4.141,-0.013099999999999667,-0.3163,224742620.0,1435866528.0
109,000539.SZ,20110429,4.1213,4.1542,4.4048,3.9366,4.1279,-0.006600000000000605,-0.1599,155501864.0,987807666.0
108,000539.SZ,20110531,3.8179,4.1081,4.3191,3.7388,4.1213,-0.3033999999999999,-7.3618,127037263.0,795932265.0
107,000539.SZ,20110630,3.5608,3.8311,3.8443,3.4223,3.8179,-0.2570999999999999,-6.7341,57851565.0,317689195.0
106,000539.SZ,20110729,3.4387,3.7611,3.7611,3.3917,3.6268,-0.18809999999999993,-5.1864,80095749.0,432903773.0
105,000539.SZ,20110831,3.2238,3.4454,3.573,3.0626,3.4387,-0.21489999999999965,-6.2495,69571130.0,341166516.0
104,000539.SZ,20110930,3.1096,3.2305,3.2641,3.0895,3.2238,-0.1142000000000003,-3.5424,5701523.0,26910596.0
103,000539.SZ,20111130,3.3044,3.4185,3.62,3.2641,3.1096,0.19479999999999986,6.2645,83138516.0,427559806.0
102,000539.SZ,20111230,3.5462,3.432,3.6133,3.0895,3.3044,0.24180000000000001,7.3175,140538888.0,713289341.0
101,000539.SZ,20120131,3.5394,3.5394,3.7812,3.4118,3.5462,-0.006799999999999695,-0.1918,71574860.0,384457266.0
100,000539.SZ,20120229,3.6066,3.5394,3.6939,3.432,3.5394,0.0671999999999997,1.8986,83997849.0,445731456.0
99,000539.SZ,20120330,3.2842,3.5932,3.7073,3.2574,3.6066,-0.3224,-8.9392,102939196.0,544051529.0
98,000539.SZ,20120427,3.4253,3.2909,3.4924,3.2238,3.2842,0.14110000000000023,4.2963,53129973.0,269164134.0
97,000539.SZ,20120531,3.7745,3.4521,3.8954,3.4185,3.4253,0.3492000000000002,10.1947,88831133.0,476451824.0
96,000539.SZ,20120629,4.4327,3.7678,4.5267,3.7208,3.7745,0.6581999999999995,17.4381,201726985.0,1242488646.0
95,000539.SZ,20120731,4.1487,4.4741,4.8131,4.0403,4.4741,-0.32540000000000013,-7.273,188439535.0,1241287472.0
94,000539.SZ,20120831,3.9725,4.1013,4.3928,3.8911,4.1487,-0.1761999999999997,-4.2471,81327797.0,498734130.0
93,000539.SZ,20120928,3.7759,3.9725,4.2368,3.342,3.9725,-0.1966000000000001,-4.949,101755823.0,558833249.0
92,000539.SZ,20121031,3.8776,3.7759,4.0945,3.5386,3.7759,0.10170000000000012,2.6934,64830492.0,362306849.0
91,000539.SZ,20121130,3.5996,3.864,4.0538,3.5047,3.8776,-0.278,-7.1694,45510103.0,254048682.0
90,000539.SZ,20121231,4.0131,3.5928,4.1013,3.5251,3.5996,0.41349999999999953,11.4874,133735133.0,754240020.0
89,000539.SZ,20130131,4.2165,4.0199,4.2436,3.7962,4.0131,0.20340000000000025,5.0684,227797776.0,1355178482.0
88,000539.SZ,20130228,4.2436,4.1894,4.447,4.1487,4.2165,0.027099999999999902,0.6427,84420484.0,530897439.0
87,000539.SZ,20130329,3.7623,4.2436,4.4063,3.7216,4.2436,-0.4812999999999996,-11.3418,140048485.0,844304620.0
86,000539.SZ,20130426,3.6335,3.7488,3.8843,3.5928,3.7623,-0.12880000000000003,-3.4234,103786808.0,570115500.0
85,000539.SZ,20130531,3.681,3.6403,3.7759,3.5793,3.6335,0.047499999999999876,1.3073,217227085.0,1180296084.0
84,000539.SZ,20130628,3.0641,3.681,3.7555,3.037,3.681,-0.6169000000000002,-16.759,146220213.0,748598694.0
83,000539.SZ,20130731,3.1879,3.1949,3.4721,3.0216,3.1325,0.055400000000000116,1.7686,184031656.0,869684939.0
82,000539.SZ,20130830,3.3612,3.1949,3.4374,3.1949,3.1879,0.17330000000000023,5.4362,134035249.0,646375794.0
81,000539.SZ,20130930,3.3612,3.3612,3.5345,3.278,3.3612,0.0,0.0,123118669.0,608724894.0
80,000539.SZ,20131031,3.5206,3.3473,3.7354,3.3335,3.3612,0.15939999999999976,4.7424,175987890.0,891884483.0
79,000539.SZ,20131129,3.4374,3.5206,3.5275,3.285,3.5206,-0.08320000000000016,-2.3632,169096465.0,835598930.0
78,000539.SZ,20131231,3.2919,3.4097,3.5622,3.1879,3.4374,-0.14549999999999974,-4.2329,181225903.0,896991756.0
77,000539.SZ,20140130,3.1949,3.2919,3.3127,3.0909,3.2919,-0.09699999999999998,-2.9466,97627712.0,452599133.0
76,000539.SZ,20140228,3.382,3.1879,3.4236,3.1533,3.1949,0.18710000000000004,5.8562,117435454.0,557612645.0
75,000539.SZ,20140331,3.4097,3.4097,3.4929,3.2087,3.382,0.027699999999999836,0.819,207772523.0,1017259654.0
74,000539.SZ,20140430,3.2434,3.4028,3.4929,3.2087,3.4097,-0.16630000000000011,-4.8773,134627232.0,658184606.0
73,000539.SZ,20140530,3.2295,3.2503,3.3058,3.2018,3.2434,-0.013900000000000023,-0.4286,66682766.0,313618546.0
72,000539.SZ,20140630,3.278,3.2295,3.2919,3.181,3.2295,0.04850000000000021,1.5018,65823652.0,306993610.0
71,000539.SZ,20140731,3.459,3.2925,3.5458,3.2346,3.2781,0.18090000000000028,5.5184,218810628.0,1022190852.25
70,000539.SZ,20140829,3.4879,3.4662,3.582,3.4228,3.459,0.028899999999999704,0.8355,205699733.0,994638089.2
69,000539.SZ,20140930,3.734,3.4952,3.7701,3.4879,3.4879,0.2461000000000002,7.0558,278397963.0,1403586006.48
68,000539.SZ,20141031,3.8859,3.7484,3.98,3.5675,3.734,0.15189999999999992,4.068,234635778.0,1213036113.94
67,000539.SZ,20141128,4.4142,3.8859,4.4504,3.8497,3.8859,0.5283000000000002,13.5953,523156682.0,3008670284.59
66,000539.SZ,20141231,5.6733,4.4214,6.1509,4.3418,4.4142,1.2591,28.5239,916337070.0,6604747625.76
65,000539.SZ,20150130,5.3332,5.724,5.941,4.9569,5.6733,-0.3401000000000005,-5.9947,405617472.0,3066709861.36
64,000539.SZ,20150227,5.0799,5.2681,5.2681,4.6313,5.3332,-0.2532999999999994,-4.7495,217966232.0,1490156895.12
63,000539.SZ,20150331,5.8542,5.1378,6.122,4.8556,5.0799,0.7742999999999993,15.2424,647121984.0,4968128644.55
62,000539.SZ,20150430,7.7212,5.8397,8.0902,5.8325,5.8542,1.867,31.8916,1026527400.0,9541504365.59
61,000539.SZ,20150529,8.4882,7.7284,9.7329,7.0482,7.7212,0.7670000000000012,9.9337,895108923.0,10051346899.37
60,000539.SZ,20150630,12.7945,10.3906,12.7945,10.3906,10.329,2.4654999999999987,23.8697,246331601.0,3265617506.95
59,000539.SZ,20150731,7.608,9.466,9.466,7.0533,10.5139,-2.9059,-27.6386,682378270.0,6480044628.18
58,000539.SZ,20150831,6.4721,7.5288,8.9817,5.028,7.608,-1.1358999999999995,-14.9303,859858255.0,7381869154.73
57,000539.SZ,20150930,6.0054,6.4721,7.7049,5.7677,6.4721,-0.46670000000000034,-7.211,566784801.0,4319388747.32
56,000539.SZ,20151030,6.5073,6.2167,6.93,6.1727,6.0054,0.5019,8.3575,328604741.0,2462126402.54
55,000539.SZ,20151130,6.4369,6.4193,7.3086,6.1991,6.5073,-0.07040000000000024,-1.0819,424688422.0,3299448639.89
54,000539.SZ,20151231,6.4721,6.4721,7.0445,6.3048,6.4369,0.035200000000000564,0.5468,264533367.0,2005926511.01
53,000539.SZ,20160129,4.799,6.4633,6.6923,4.5965,6.4721,-1.6730999999999998,-25.851,224055295.0,1438187404.86
52,000539.SZ,20160229,4.667,4.8255,5.2393,4.5613,4.799,-0.13200000000000056,-2.7506,150675997.0,842637240.28
51,000539.SZ,20160331,5.1865,4.7022,5.2481,4.6317,4.667,0.5194999999999999,11.1313,223827702.0,1279616287.06
50,000539.SZ,20160429,4.9575,5.1777,5.5916,4.8431,5.1865,-0.2290000000000001,-4.4153,211415173.0,1246603989.49
49,000539.SZ,20160531,4.6405,4.9311,5.0192,4.4556,4.9575,-0.3169999999999993,-6.3944,111983139.0,598434467.81
48,000539.SZ,20160630,4.6224,4.8434,4.9447,4.5671,4.8526,-0.23019999999999996,-4.7438,145046693.0,750690395.95
47,000539.SZ,20160729,4.7421,4.6224,4.871,4.604,4.6224,0.11969999999999992,2.5896,162552958.0,837483002.02
46,000539.SZ,20160831,4.8342,4.7513,5.0183,4.65,4.7421,0.09210000000000029,1.9422,231313022.0,1222027210.73
45,000539.SZ,20160930,4.7421,4.825,4.9355,4.7145,4.8342,-0.09210000000000029,-1.9052,102237414.0,532505003.46
44,000539.SZ,20161031,4.8158,4.7421,4.8802,4.7421,4.7421,0.07370000000000054,1.5542,94837296.0,496304568.29
43,000539.SZ,20161130,5.0367,4.8158,5.2209,4.7881,4.8158,0.22089999999999943,4.587,228541419.0,1233435876.04
42,000539.SZ,20161230,4.8986,5.0367,5.3038,4.8434,5.0367,-0.13809999999999967,-2.7419,150396602.0,819366678.7
41,000539.SZ,20170126,4.9539,4.917,5.1196,4.8802,4.8986,0.055299999999999905,1.1289,123533910.0,668799791.09
40,000539.SZ,20170228,5.1749,4.9539,5.3314,4.9263,4.9539,0.22100000000000009,4.4611,178456472.0,989107597.18
39,000539.SZ,20170331,5.1565,5.1472,5.2301,4.9815,5.1749,-0.01839999999999975,-0.3556,185400776.0,1029520025.39
38,000539.SZ,20170428,4.9447,5.1196,6.1233,4.8158,5.1565,-0.2118000000000002,-4.1074,409588059.0,2404159023.62
37,000539.SZ,20170531,4.8618,4.9355,5.0644,4.6592,4.9447,-0.08290000000000042,-1.6765,153876074.0,819617710.14
36,000539.SZ,20170630,4.9821,4.954,5.2251,4.8232,4.9353,0.046800000000000175,0.9483,103462657.0,552708631.09
35,000539.SZ,20170731,5.0755,4.9821,5.2064,4.8979,4.9821,0.09339999999999993,1.8747,127820623.0,686298375.68
34,000539.SZ,20170831,5.0288,5.0568,5.1129,4.8138,5.0755,-0.04669999999999952,-0.9201,103378177.0,553114866.96
33,000539.SZ,20170929,4.8512,5.0381,5.0942,4.8138,5.0288,-0.17759999999999998,-3.5317,71942896.0,383316083.74
32,000539.SZ,20171031,4.8045,4.8792,4.926,4.7671,4.8512,-0.04670000000000041,-0.9626,45445643.0,236875036.12
31,000539.SZ,20171130,4.5988,4.8045,4.8419,4.5708,4.8045,-0.20570000000000022,-4.2814,53411473.0,269403077.15
30,000539.SZ,20171229,4.5054,4.6082,4.6643,4.4586,4.5988,-0.09339999999999993,-2.031,70426218.0,341205734.02
29,000539.SZ,20180131,4.524,4.5054,4.6549,4.4867,4.5054,0.018600000000000172,0.4128,56781761.0,277502226.29
28,000539.SZ,20180228,4.2156,4.524,4.5521,4.1221,4.524,-0.3083999999999998,-6.817,36829247.0,169526764.83
27,000539.SZ,20180330,4.2156,4.1969,4.5054,4.0567,4.2156,0.0,0.0,70793062.0,326901587.28
26,000539.SZ,20180427,4.066,4.2062,4.253,4.0286,4.2156,-0.1496000000000004,-3.5487,29086691.0,128926832.37
25,000539.SZ,20180531,4.2249,4.066,4.3184,4.038,4.066,0.15890000000000004,3.908,47850743.0,214079609.23
24,000539.SZ,20180629,4.0386,4.3148,4.4196,3.9529,4.3053,-0.26670000000000016,-6.1947,46560888.0,207297903.34
23,000539.SZ,20180731,4.4101,4.0386,4.4482,3.9814,4.0386,0.37150000000000016,9.1987,55716207.0,247883654.52
22,000539.SZ,20180831,4.1243,4.4196,4.4386,4.0291,4.4101,-0.28580000000000005,-6.4806,41534657.0,183821445.42
21,000539.SZ,20180928,4.1624,4.0957,4.2386,4.0672,4.1243,0.03810000000000002,0.9238,35177785.0,153301513.17
20,000539.SZ,20181031,3.7243,4.1529,4.1529,3.4766,4.1624,-0.43809999999999993,-10.5252,45322233.0,179087295.42
19,000539.SZ,20181130,3.7624,3.6957,4.4958,3.6576,3.7243,0.03810000000000002,1.023,135922338.0,564953711.46
18,000539.SZ,20181228,4.4101,3.81,4.4386,3.8005,3.7624,0.6476999999999999,17.2151,122282175.0,524696382.47
17,000539.SZ,20190131,3.7528,4.3815,4.4101,3.7243,4.4101,-0.6572999999999998,-14.9044,90548002.0,384333836.05
16,000539.SZ,20190228,4.2005,3.7528,4.3624,3.7338,3.7528,0.44769999999999976,11.9298,194069154.0,835908730.28
15,000539.SZ,20190329,4.6958,4.21,5.0482,4.0957,4.2005,0.4953000000000003,11.7915,480399890.0,2273083425.09
14,000539.SZ,20190430,4.3339,4.6958,4.9054,4.2291,4.6958,-0.36190000000000033,-7.7069,297243259.0,1461096068.41
13,000539.SZ,20190531,4.0386,4.2672,4.2672,3.8767,4.3339,-0.2953000000000001,-6.8137,89229755.0,380863852.07
12,000539.SZ,20190628,4.0957,4.0386,4.1434,3.9338,4.0386,0.05710000000000015,1.4139,74506771.0,317412942.74
11,000539.SZ,20190731,3.835,4.1441,4.1537,3.7577,4.0958,-0.2607999999999997,-6.3675,97840255.0,397015058.33
10,000539.SZ,20190830,3.777,3.8156,3.8833,3.5258,3.835,-0.05799999999999983,-1.5124,69113733.0,267148170.24
9,000539.SZ,20190930,3.7673,3.777,3.9026,3.7287,3.777,-0.009700000000000042,-0.2568,58273185.0,230699341.39
8,000539.SZ,20191031,3.7963,3.7577,4.2407,3.719,3.7673,0.028999999999999915,0.7698,87423982.0,352726300.36
