,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
82,000622.SZ,20130228,5.17,7.9,7.99,4.41,1.12,4.05,361.6071,183602205.0,927949936.0
81,000622.SZ,20130329,5.23,4.91,5.52,4.43,5.17,0.0600000000000005,1.1605,200253616.0,999675774.0
80,000622.SZ,20130426,4.77,5.13,5.45,4.62,5.23,-0.46000000000000085,-8.7954,157360792.0,784037968.0
79,000622.SZ,20130531,5.98,4.7,6.84,4.54,4.77,1.2100000000000009,25.3669,346933025.0,2021079064.0
78,000622.SZ,20130628,4.24,5.98,6.11,3.99,5.98,-1.7400000000000002,-29.097,246318852.0,1306931420.0
77,000622.SZ,20130731,4.07,4.17,4.75,4.0,4.24,-0.16999999999999993,-4.0094,170394704.0,736292223.0
76,000622.SZ,20130830,4.43,4.06,4.57,4.02,4.07,0.35999999999999943,8.8452,154028210.0,664598916.0
75,000622.SZ,20130930,4.75,4.41,5.4,4.25,4.43,0.3200000000000003,7.2235,197092229.0,928811190.0
74,000622.SZ,20131031,4.09,4.7,4.84,3.78,4.75,-0.6600000000000001,-13.8947,99660058.0,438834800.0
73,000622.SZ,20131129,4.2,4.06,4.27,3.82,4.09,0.11000000000000032,2.6895,58816485.0,241426547.0
72,000622.SZ,20131231,3.88,4.08,4.13,3.82,4.2,-0.3200000000000003,-7.619,53016697.0,211624877.0
71,000622.SZ,20140130,3.7,3.85,4.05,3.45,3.88,-0.17999999999999972,-4.6392,46003660.0,172412422.0
70,000622.SZ,20140228,4.12,3.69,4.62,3.64,3.7,0.41999999999999993,11.3514,111434741.0,463249644.0
69,000622.SZ,20140331,4.26,4.1,4.67,3.85,4.12,0.13999999999999968,3.3981,151532005.0,661197648.0
68,000622.SZ,20140430,3.93,4.27,4.54,3.8,4.26,-0.3299999999999996,-7.7465,64341554.0,274913759.0
67,000622.SZ,20140530,4.83,3.91,5.01,3.85,3.93,0.8999999999999999,22.9008,79946143.0,350040822.0
66,000622.SZ,20140630,4.11,4.78,5.79,3.95,4.83,-0.7199999999999998,-14.9068,344272024.0,1626560236.0
65,000622.SZ,20140731,4.82,4.12,4.94,4.09,4.11,0.71,17.2749,239259346.0,1056962769.64
64,000622.SZ,20140829,4.98,4.77,5.59,4.58,4.82,0.16000000000000014,3.3195,220150012.0,1104036908.42
63,000622.SZ,20140930,6.21,5.0,6.65,4.96,4.98,1.2299999999999995,24.6988,250887324.0,1471248740.23
62,000622.SZ,20141031,6.79,6.17,6.99,5.5,6.21,0.5800000000000001,9.3398,145563695.0,909497232.19
61,000622.SZ,20141128,9.24,6.83,9.24,6.6,6.79,2.45,36.0825,191174230.0,1460344676.95
60,000622.SZ,20141231,5.71,9.2,9.39,5.5,9.24,-3.5300000000000002,-38.2035,322840959.0,2236948102.22
59,000622.SZ,20150130,6.87,5.67,6.98,5.61,5.71,1.1600000000000001,20.3152,176278858.0,1108929203.99
58,000622.SZ,20150227,7.99,6.78,8.35,6.28,6.87,1.12,16.3028,127921428.0,917249247.2
57,000622.SZ,20150331,9.13,8.03,10.3,7.76,7.99,1.1400000000000006,14.2678,337056967.0,3081467187.43
56,000622.SZ,20150430,11.32,9.13,12.24,9.09,9.13,2.1899999999999995,23.9869,176437526.0,1930263317.22
55,000622.SZ,20151030,9.51,10.19,11.5,8.9,11.32,-1.8100000000000005,-15.9894,471425209.0,4725557762.71
54,000622.SZ,20151130,15.8,9.19,17.2,9.0,9.51,6.290000000000001,66.1409,513762983.0,6664842302.85
53,000622.SZ,20151231,18.5,16.05,19.49,13.7,15.8,2.6999999999999993,17.0886,384489229.0,6504957295.75
52,000622.SZ,20160129,10.91,18.65,19.38,9.46,18.5,-7.59,-41.027,227513627.0,3116137899.38
51,000622.SZ,20160229,9.93,10.6,13.14,9.86,10.91,-0.9800000000000004,-8.9826,136072170.0,1575784915.44
50,000622.SZ,20160331,11.42,9.93,12.01,9.53,9.93,1.4900000000000002,15.005,175306116.0,1939393505.09
49,000622.SZ,20160429,13.12,11.42,15.47,10.9,11.42,1.6999999999999993,14.8862,257305860.0,3431585667.49
48,000622.SZ,20160531,9.49,12.46,13.13,8.33,13.12,-3.629999999999999,-27.6677,161242655.0,1646156335.47
47,000622.SZ,20160630,7.66,9.45,9.9,7.07,9.49,-1.83,-19.2835,113489321.0,931912709.65
46,000622.SZ,20160729,7.37,7.67,8.16,7.24,7.66,-0.29000000000000004,-3.7859,93287028.0,721526161.81
45,000622.SZ,20160831,8.78,7.37,9.66,7.1,7.37,1.4099999999999993,19.1316,121834872.0,1040260407.73
44,000622.SZ,20160930,9.3,8.78,9.55,8.57,8.78,0.5200000000000014,5.9226,89615546.0,814663332.0
43,000622.SZ,20161031,9.1,9.35,9.55,8.9,9.3,-0.20000000000000107,-2.1505,59502018.0,547446883.85
42,000622.SZ,20161230,9.14,9.36,9.44,8.22,9.1,0.040000000000000924,0.4396,80150926.0,709418897.04
41,000622.SZ,20170126,8.4,9.15,9.25,7.8,9.14,-0.7400000000000002,-8.0963,64653770.0,561281077.96
40,000622.SZ,20170228,8.21,8.34,8.57,7.86,8.4,-0.1899999999999995,-2.2619,44748262.0,366556570.45
39,000622.SZ,20170331,8.71,8.25,9.26,8.22,8.21,0.5,6.0901,90521496.0,792139834.43
38,000622.SZ,20170428,7.99,8.65,8.99,7.62,8.71,-0.7200000000000006,-8.2664,59159437.0,496744554.08
37,000622.SZ,20170531,6.17,7.94,8.48,5.71,7.99,-1.8200000000000003,-22.7785,101853300.0,690896183.51
36,000622.SZ,20170630,6.33,6.19,6.92,5.88,6.17,0.16000000000000014,2.5932,67893137.0,440752628.92
35,000622.SZ,20170731,5.73,6.33,6.43,5.4,6.33,-0.5999999999999996,-9.4787,56350217.0,333799996.92
34,000622.SZ,20170831,6.0,5.73,6.04,5.53,5.73,0.2699999999999996,4.712,66966814.0,388105837.37
33,000622.SZ,20170929,5.94,5.99,6.59,5.74,6.0,-0.05999999999999961,-1.0,82483900.0,505598535.31
32,000622.SZ,20171031,5.97,5.94,7.15,5.73,5.94,0.02999999999999936,0.5051,125927826.0,791520980.54
31,000622.SZ,20171130,5.22,5.95,6.04,5.2,5.97,-0.75,-12.5628,50532415.0,284317298.82
30,000622.SZ,20171229,4.69,5.2,5.3,4.44,5.22,-0.5299999999999994,-10.1533,52465587.0,256314922.73
29,000622.SZ,20180131,4.75,4.7,5.31,4.52,4.69,0.05999999999999961,1.2793,79231208.0,381066594.64
28,000622.SZ,20180228,4.2,4.71,4.81,3.81,4.75,-0.5499999999999998,-11.5789,30944550.0,128576768.42
27,000622.SZ,20180330,4.39,4.18,4.6,3.9,4.2,0.1899999999999995,4.5238,42671967.0,186534907.38
26,000622.SZ,20180427,4.38,4.37,4.93,4.23,4.39,-0.009999999999999787,-0.2278,46914475.0,211666629.29
25,000622.SZ,20180531,3.87,4.35,4.52,3.78,4.38,-0.5099999999999998,-11.6438,29450504.0,125090836.34
24,000622.SZ,20180629,3.23,3.85,3.99,2.88,3.87,-0.6400000000000001,-16.5375,36639016.0,123130467.22
23,000622.SZ,20180731,3.42,3.23,3.74,3.04,3.23,0.18999999999999995,5.8824,44554677.0,148701995.0
22,000622.SZ,20180831,3.17,3.42,3.96,3.1,3.42,-0.25,-7.3099,60696435.0,208904539.83
21,000622.SZ,20180928,3.26,3.12,3.42,3.1,3.17,0.08999999999999986,2.8391,22971673.0,74314669.02
20,000622.SZ,20181031,5.03,3.23,5.03,2.42,3.26,1.7700000000000005,54.2945,147424409.0,587468003.34
19,000622.SZ,20181130,7.46,5.53,10.53,5.53,5.03,2.4299999999999997,48.3101,1562419520.0,13385495682.86
18,000622.SZ,20181228,7.51,7.47,8.79,6.55,7.46,0.04999999999999982,0.6702,1407777769.0,10428321045.72
17,000622.SZ,20190131,4.92,7.42,7.69,4.91,7.51,-2.59,-34.4874,914954415.0,5918359772.46
16,000622.SZ,20190228,7.0,4.99,8.97,4.96,4.92,2.08,42.2764,958192256.0,6443516797.58
15,000622.SZ,20190329,6.64,7.11,8.91,6.35,7.0,-0.3600000000000003,-5.1429,966350597.0,7464938673.71
14,000622.SZ,20190430,5.63,6.58,7.67,5.45,6.64,-1.0099999999999998,-15.2108,548322231.0,3765704645.48
