	rpp	spp	rtot%	won%	rnorm%	maxDD%	sharpe	comm%	total	net	2012-12	2013-12	2014-12	2015-12	2016-12	2017-12	2018-12	2019-12	2020-12	2021-12	2022-12
39	4	18	1.948	0.185	0.005	90.15	0.340	0.428	163	486500.80	-0.273	-0.404	-0.234	13.36	1.449	0.625	-0.038	0.107	0.519	-0.812	0.218
75	8	14	1.966	0.127	0.005	81.16	0.370	0.192	198	617055.60	-0.059	-0.190	-0.117	3.488	0.158	0.182	0.412	0.587	-0.061	-0.127	-0.060
40	4	19	2.069	0.204	0.005	87.33	0.368	0.324	143	550129.20	-0.042	-0.383	-0.247	7.526	1.155	-0.094	0.350	0.647	0.541	-0.750	0.247
70	7	19	2.137	0.152	0.005	78.51	0.377	0.158	139	633761.20	-0.076	-0.250	-0.059	4.839	0.857	-0.495	0.159	0.389	0.674	-0.252	0.177
87	9	16	2.339	0.150	0.006	72.15	0.407	0.128	161	843708.80	0.090	-0.176	-0.082	3.601	0.742	0.041	-0.222	0.152	0.405	0.074	0.116
88	9	17	2.390	0.180	0.006	59.77	0.366	0.161	151	883197.20	-0.045	-0.204	-0.081	5.293	0.722	0.464	0.403	-0.176	-0.202	-0.060	0.135
48	5	17	2.410	0.189	0.006	74.59	0.374	0.190	165	984448.80	0.036	-0.160	-0.153	5.661	0.036	1.096	0.131	-0.287	0.799	-0.276	-0.007
59	6	18	2.416	0.154	0.006	77.48	0.385	0.204	150	935094.80	-0.132	-0.317	-0.089	6.881	2.104	-0.285	-0.159	0.088	1.014	-0.411	0.093
35	4	14	2.482	0.197	0.006	72.86	0.395	0.268	229	1102098.80	-0.090	-0.326	-0.149	5.829	1.857	0.178	0.024	0.490	0.375	-0.494	-0.060
69	7	18	2.836	0.168	0.007	66.54	0.397	0.167	150	1380733.20	-0.076	-0.232	-0.108	6.714	1.995	0.403	-0.238	-0.024	0.479	-0.346	0.154
89	9	18	2.858	0.145	0.007	64.36	0.382	0.103	139	1512575.60	-0.064	-0.185	-0.080	6.531	1.382	-0.183	-0.172	0.336	0.113	0.270	0.084
49	5	18	2.995	0.209	0.008	77.34	0.369	0.179	149	1660787.60	0.074	-0.294	-0.150	11.56	0.745	-0.269	0.205	-0.152	2.318	-0.501	0.146
19	2	18	3.102	0.267	0.008	87.03	0.405	0.275	162	1707601.20	-0.186	-0.042	-0.356	10.11	0.038	1.243	0.350	0.435	2.022	-0.768	0.258
79	8	18	3.432	0.171	0.009	70.06	0.479	0.099	141	2657167.20	-0.060	-0.178	-0.117	4.993	1.575	0.329	0.042	0.665	0.739	-0.348	0.126
80	8	19	3.884	0.185	0.010	68.64	0.468	0.058	131	4290279.60	-0.069	-0.163	-0.096	6.064	0.445	0.045	0.297	0.848	1.607	-0.072	0.117
0																					
