	rpp	spp	rtot%	won%	rnorm%	maxDD%	sharpe	comm%	total	net	2012-12	2013-12	2014-12	2015-12	2016-12	2017-12	2018-12	2019-12	2020-12	2021-12	2022-12
46	5.000	16.000	-428.700	16.100	-0.900	98.790	-62.100	-2.300	143.000	-98626.000	5.000	-69.400	-80.300	-78.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	3.000	16.000	-420.700	10.000	-0.900	98.830	-59.000	-2.600	110.000	-98510.800	12.100	-76.700	-83.500	-65.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	1.000	19.000	-420.500	18.800	-0.900	98.920	-55.800	-3.700	96.000	-98507.200	19.300	-69.900	-66.100	-87.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16	2.000	16.000	-419.400	19.500	-0.900	99.030	-65.300	-4.300	159.000	-98491.600	15.600	-73.700	-76.200	-72.500	-24.000	0.000	0.000	0.000	0.000	0.000	0.000
19	2.000	19.000	-414.700	16.300	-0.900	98.900	-57.600	-3.300	104.000	-98418.400	14.800	-71.200	-62.600	-87.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	1.000	16.000	-414.500	20.100	-0.900	99.010	-59.200	-4.300	154.000	-98416.000	12.100	-80.000	-78.800	-66.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	1.000	18.000	-412.100	16.300	-0.800	98.830	-66.300	-5.100	135.000	-98377.200	10.000	-58.500	-58.000	-88.800	-24.100	0.000	0.000	0.000	0.000	0.000	0.000
56	6.000	16.000	-411.600	14.200	-0.800	98.630	-75.600	-2.800	162.000	-98369.200	3.500	-56.300	-80.800	-54.800	-58.600	0.000	0.000	0.000	0.000	0.000	0.000
18	2.000	18.000	-402.400	16.600	-0.800	98.590	-71.700	-5.100	145.000	-98212.000	11.800	-56.200	-50.400	-74.500	-71.100	0.000	0.000	0.000	0.000	0.000	0.000
36	4.000	16.000	-397.600	12.400	-0.800	98.520	-71.300	-3.300	169.000	-98123.200	11.900	-49.900	-73.200	-73.200	-53.400	0.000	0.000	0.000	0.000	0.000	0.000
25	3.000	15.000	-397.500	17.100	-0.800	98.620	-34.800	-17.500	510.000	-98122.400	15.700	-42.200	-74.800	52.100	40.300	-59.700	-87.100	0.000	0.000	0.000	0.000
