,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
4852,600000.SH,20000104,24.98,25.78,24.75,25.57,24.75,0.8200000000000003,3.3131,44961.0,113946.783
4851,600000.SH,20000105,25.57,25.98,25.15,25.28,25.57,-0.28999999999999915,-1.1341,52528.0,134465.427
4850,600000.SH,20000106,25.18,26.3,25.05,25.99,25.28,0.7099999999999973,2.8085,62297.0,160059.798
4849,600000.SH,20000107,26.3,27.5,26.12,26.9,25.99,0.9100000000000001,3.5013,213553.0,575751.082
4848,600000.SH,20000110,27.0,27.85,26.71,27.25,26.9,0.3500000000000014,1.3011,165397.0,450453.518
4847,600000.SH,20000111,27.25,27.3,26.12,26.2,27.25,-1.0500000000000007,-3.8532,93908.0,251055.911
4846,600000.SH,20000112,26.0,26.0,24.8,25.12,26.2,-1.0799999999999983,-4.1221,352749.0,889867.34
4845,600000.SH,20000113,25.0,25.25,24.8,24.9,25.12,-0.22000000000000242,-0.8758,79756.0,199244.304
4844,600000.SH,20000114,24.88,25.0,23.91,24.2,24.9,-0.6999999999999993,-2.8112,178619.0,434206.087
4843,600000.SH,20000117,24.08,24.44,23.75,24.4,24.2,0.1999999999999993,0.8264,81015.0,194776.964
4842,600000.SH,20000118,24.5,24.57,23.88,24.14,24.4,-0.259999999999998,-1.0656,76933.0,185091.684
4841,600000.SH,20000119,24.14,24.29,23.98,24.13,24.14,-0.010000000000001563,-0.0414,46584.0,112325.238
4840,600000.SH,20000120,24.12,24.65,24.1,24.44,24.13,0.3100000000000023,1.2847,51144.0,124668.176
4839,600000.SH,20000121,24.51,24.63,24.08,24.27,24.44,-0.1700000000000017,-0.6956,81387.0,197523.215
4838,600000.SH,20000124,24.2,24.25,23.95,24.18,24.27,-0.08999999999999986,-0.3708,92503.0,222404.435
4837,600000.SH,20000125,24.18,25.16,24.18,24.59,24.18,0.41000000000000014,1.6956,77423.0,191183.031
4836,600000.SH,20000126,24.6,24.8,24.31,24.41,24.59,-0.17999999999999972,-0.732,27377.0,67037.918
4835,600000.SH,20000127,24.47,24.78,24.2,24.59,24.41,0.17999999999999972,0.7374,63350.0,154926.927
4834,600000.SH,20000128,24.6,25.1,24.56,25.04,24.59,0.4499999999999993,1.83,123627.0,307633.593
4833,600000.SH,20000214,26.0,27.48,25.5,27.2,25.04,2.16,8.6262,237391.0,628039.0
4832,600000.SH,20000215,27.2,27.48,25.65,25.68,27.2,-1.5199999999999996,-5.5882,262677.0,693158.484
4831,600000.SH,20000216,25.5,25.55,24.91,25.2,25.68,-0.4800000000000004,-1.8692,190691.0,478863.316
4830,600000.SH,20000217,25.25,26.4,24.23,24.9,25.2,-0.3000000000000007,-1.1905,230448.0,579973.766
4829,600000.SH,20000218,24.9,25.0,24.3,24.68,24.9,-0.21999999999999886,-0.8835,96935.0,237689.141
4828,600000.SH,20000221,24.75,26.3,24.2,25.8,24.68,1.120000000000001,4.5381,255106.0,650679.608
4827,600000.SH,20000222,25.88,26.0,24.6,24.75,25.8,-1.0500000000000007,-4.0698,105175.0,264067.019
4826,600000.SH,20000223,24.6,25.25,24.5,24.6,24.75,-0.14999999999999858,-0.6061,69146.0,171007.817
4825,600000.SH,20000224,24.6,25.0,24.5,24.82,24.6,0.21999999999999886,0.8943,46481.0,114760.607
4824,600000.SH,20000225,24.9,24.97,24.5,24.6,24.82,-0.21999999999999886,-0.8864,58148.0,143173.184
4823,600000.SH,20000228,24.6,25.25,24.35,25.08,24.6,0.4799999999999969,1.9512,93734.0,231796.184
4822,600000.SH,20000229,25.21,25.6,24.8,25.17,25.08,0.09000000000000341,0.3589,109559.0,275768.296
4821,600000.SH,20000301,25.2,27.1,25.17,25.82,25.17,0.6499999999999986,2.5824,417051.0,1096015.251
4820,600000.SH,20000302,25.78,26.0,25.1,25.42,25.82,-0.3999999999999986,-1.5492,129999.0,330633.29
4819,600000.SH,20000303,25.6,26.7,25.58,26.0,25.42,0.5799999999999983,2.2817,161098.0,420418.261
4818,600000.SH,20000306,26.48,26.9,25.55,25.6,26.0,-0.3999999999999986,-1.5385,206162.0,542130.542
4817,600000.SH,20000307,25.2,26.3,25.01,25.8,25.6,0.1999999999999993,0.7812,111329.0,284899.208
4816,600000.SH,20000308,26.0,26.18,25.43,25.69,25.8,-0.10999999999999943,-0.4264,57714.0,148007.818
4815,600000.SH,20000309,25.7,27.49,25.38,26.4,25.69,0.7099999999999973,2.7637,264910.0,704219.251
4814,600000.SH,20000310,26.4,26.5,25.51,25.62,26.4,-0.7799999999999976,-2.9545,105700.0,273452.598
4813,600000.SH,20000313,25.6,25.98,25.36,25.53,25.62,-0.08999999999999986,-0.3513,55664.0,142355.325
4812,600000.SH,20000314,25.0,25.42,24.8,25.42,25.53,-0.10999999999999943,-0.4309,113752.0,285003.725
4811,600000.SH,20000315,25.4,25.42,25.0,25.14,25.42,-0.28000000000000114,-1.1015,42200.0,106073.477
4810,600000.SH,20000316,25.0,25.08,24.28,24.5,25.14,-0.6400000000000006,-2.5457,75702.0,187216.559
4809,600000.SH,20000317,24.5,25.2,24.4,24.86,24.5,0.35999999999999943,1.4694,42704.0,106042.791
4808,600000.SH,20000320,24.5,25.2,24.5,25.02,24.86,0.16000000000000014,0.6436,43876.0,109489.001
4807,600000.SH,20000321,25.18,25.2,24.82,25.0,25.02,-0.019999999999999574,-0.0799,44099.0,110102.522
4806,600000.SH,20000322,25.08,25.71,24.88,25.34,25.0,0.33999999999999986,1.36,45220.0,114100.496
4805,600000.SH,20000323,25.35,25.68,25.2,25.51,25.34,0.1700000000000017,0.6709,58872.0,149693.415
4804,600000.SH,20000324,26.01,27.05,25.51,25.51,25.51,0.0,0.0,218564.0,575302.201
4803,600000.SH,20000327,25.71,26.26,25.4,25.9,25.51,0.389999999999997,1.5288,61611.0,158738.686
4802,600000.SH,20000328,26.03,26.3,25.25,25.5,25.9,-0.3999999999999986,-1.5444,70742.0,180806.578
4801,600000.SH,20000329,25.55,25.7,25.06,25.18,25.5,-0.3200000000000003,-1.2549,74952.0,189202.622
4800,600000.SH,20000330,25.25,25.72,25.25,25.38,25.18,0.1999999999999993,0.7943,44008.0,111744.655
4799,600000.SH,20000331,25.45,25.58,25.1,25.22,25.38,-0.16000000000000014,-0.6304,43204.0,109090.852
4798,600000.SH,20000403,25.2,25.5,25.1,25.24,25.22,0.019999999999999574,0.0793,34984.0,88393.318
4797,600000.SH,20000404,25.2,25.2,24.86,24.9,25.24,-0.33999999999999986,-1.3471,43071.0,107536.323
4796,600000.SH,20000405,24.9,25.49,24.88,25.15,24.9,0.25,1.004,34270.0,85948.606
4795,600000.SH,20000406,25.15,25.39,25.06,25.31,25.15,0.16000000000000014,0.6362,29276.0,73823.696
4794,600000.SH,20000407,25.42,25.9,25.38,25.69,25.31,0.38000000000000256,1.5014,60063.0,154300.91
4793,600000.SH,20000410,25.72,25.9,25.43,25.54,25.69,-0.15000000000000213,-0.5839,33278.0,85045.43
4792,600000.SH,20000411,25.6,26.08,25.4,25.56,25.54,0.019999999999999574,0.0783,62139.0,159922.397
4791,600000.SH,20000412,25.62,26.0,25.35,25.45,25.56,-0.10999999999999943,-0.4304,46344.0,119159.205
4790,600000.SH,20000413,25.45,25.88,25.4,25.6,25.45,0.15000000000000213,0.5894,42065.0,107735.819
4789,600000.SH,20000414,25.68,26.2,25.6,25.83,25.6,0.22999999999999687,0.8984,112505.0,291591.767
4788,600000.SH,20000417,26.0,26.2,25.18,25.3,25.83,-0.5299999999999976,-2.0519,79769.0,204556.962
4787,600000.SH,20000418,25.31,25.45,25.01,25.32,25.3,0.019999999999999574,0.0791,38945.0,98184.097
4786,600000.SH,20000419,25.45,25.78,25.19,25.3,25.32,-0.019999999999999574,-0.079,27556.0,69942.881
4785,600000.SH,20000420,25.3,25.5,25.19,25.32,25.3,0.019999999999999574,0.0791,36367.0,91864.727
4784,600000.SH,20000421,25.0,25.49,25.0,25.15,25.32,-0.1700000000000017,-0.6714,39655.0,99685.689
4783,600000.SH,20000424,25.15,25.2,24.75,24.82,25.15,-0.3299999999999983,-1.3121,59138.0,147290.986
4782,600000.SH,20000425,24.81,25.09,24.78,24.84,24.82,0.019999999999999574,0.0806,23095.0,57489.169
4781,600000.SH,20000426,24.88,25.57,24.8,25.0,24.84,0.16000000000000014,0.6441,35594.0,89234.644
4780,600000.SH,20000427,25.0,25.2,24.68,24.74,25.0,-0.26000000000000156,-1.04,32842.0,81550.296
4779,600000.SH,20000428,24.74,25.0,24.65,25.0,24.74,0.26000000000000156,1.0509,32108.0,79526.614
