,length_fast,length_slow,return,dd,sharpe
0,1,25,3.7256831427654005,1.4783393142224373,1.047096426024375
1,1,30,3.585111717991587,1.3902961053741514,0.9326617302283647
2,6,25,3.201705832362272,1.8593812946519157,0.7234240072830226
3,6,30,3.036696737018711,1.5795261164708991,0.7974080288355362
