index,return
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,-0.0001898475334458638
2019-10-28,-0.00014990809134918237
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,0.0
2019-11-04,-9.995371143656229e-06
2019-11-05,0.00020990489209338214
2019-11-06,-2.9980120182293568e-05
2019-11-07,-0.00015989876808997217
2019-11-08,3.998108494873698e-05
2019-11-11,0.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-18,0.0
2019-11-19,2.9984614894118522e-05
2019-11-20,-0.00018989686701154085
2019-11-21,-3.998588098541589e-05
2019-11-22,0.0
2019-11-25,0.0
2019-11-26,-8.997182982006802e-05
2019-11-27,-6.998438648342376e-05
2019-11-28,9.998469234329121e-06
2019-11-29,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-09,-1.9996738531924407e-05
2019-12-10,-3.999427681899981e-05
2019-12-11,1.999793821250151e-05
2019-12-12,-8.998892236367073e-05
2019-12-13,7.999735208774617e-05
2019-12-16,9.998869128002852e-06
2019-12-17,0.00025996799793936987
2019-12-18,9.99617046715251e-06
2019-12-19,9.996070544637803e-06
2019-12-20,9.995970624343542e-06
2019-12-23,-0.00021990915552783097
2019-12-24,9.998069372851859e-06
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,6.998578588679472e-05
2019-12-30,1.9994539491197116e-05
2019-12-31,2.9991209576474276e-05
2020-01-02,9.996770043607661e-05
2020-01-03,0.00012994502026186794
2020-01-06,-0.00013992260880502094
2020-01-07,3.998348282330255e-05
2020-01-08,-0.00017991847893716884
2020-01-09,6.998088821941195e-05
2020-01-10,0.0
2020-01-13,0.0
2020-01-14,2.9989710530253788e-05
2020-01-15,-0.0001799328670473166
2020-01-16,2.9994208118333532e-05
2020-01-17,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-10,9.997769497616105e-06
2020-02-11,8.997902588903095e-05
2020-02-12,0.0
2020-02-13,-9.996770043596559e-05
2020-02-14,0.0
2020-02-17,0.0002999330849287052
2020-02-18,-0.00011993726081882539
2020-02-19,4.997985312127362e-05
2020-02-20,0.00011994565262485324
2020-02-21,6.995990597791213e-05
2020-02-24,-0.00013991002386359863
2020-02-25,-8.995474376838342e-05
2020-02-26,0.0
2020-02-27,9.995870705825638e-06
2020-02-28,-0.0003598477484176854
2020-03-02,9.999369039803696e-05
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,-0.00010998206192569526
2020-03-09,-0.00033998194695861184
2020-03-10,-7.002008876344501e-05
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,-5.0017851371153554e-05
2020-03-26,8.003256525079827e-05
2020-03-27,1.0003270068947856e-05
2020-03-30,4.001268001840863e-05
2020-03-31,-0.00013003600697036877
2020-04-01,-4.0016282625399135e-05
2020-04-02,0.0
2020-04-03,2.0008941996163543e-05
2020-04-07,0.00015006406234818748
2020-04-08,-1.0002769766925823e-05
2020-04-09,-4.001147929344473e-05
2020-04-10,2.0006540137895712e-05
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,-2.0006139884287677e-05
2020-04-16,-8.002616055191591e-05
2020-04-17,0.0
2020-04-20,-4.0016282625399135e-05
