===============================================================================
Id,600000qfq,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
42,600000qfq,42,2019-04-30 23:59:59.999989,11.3475,11.7258,11.3475,11.6094,1234747.38,,SmaCross,42,737179.9999999999,Broker,42,9972.830000000002,9972.830000000002,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,600000qfq,43,2019-05-06 23:59:59.999989,11.396,11.5027,11.1923,11.4445,1245454.14,,SmaCross,43,737185.9999999999,Broker,43,8833.230000000001,9977.680000000002,BuySell,43,11.0244155,,Trades - Net Profit/Loss,43,,
44,600000qfq,44,2019-05-07 23:59:59.999989,11.4639,11.5803,11.2505,11.4445,854899.22,,SmaCross,44,737186.9999999999,Broker,44,8833.230000000001,9977.680000000002,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,600000qfq,45,2019-05-08 23:59:59.999989,11.2893,11.4251,11.1438,11.1632,585001.03,,SmaCross,45,737187.9999999999,Broker,45,8833.230000000001,9949.550000000001,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,600000qfq,46,2019-05-09 23:59:59.999989,11.1341,11.2117,10.7656,10.785,641280.49,,SmaCross,46,737188.9999999999,Broker,46,9946.640000000001,9946.640000000001,BuySell,46,,11.379875499999999,Trades - Net Profit/Loss,46,,-26.19000000000007
47,600000qfq,47,2019-05-10 23:59:59.999989,10.8917,11.076,10.7268,10.979,485507.22,,SmaCross,47,737189.9999999999,Broker,47,9946.640000000001,9946.640000000001,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,600000qfq,48,2019-05-13 23:59:59.999989,10.8626,11.0566,10.8141,10.9693,402849.63,,SmaCross,48,737192.9999999999,Broker,48,9946.640000000001,9946.640000000001,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,600000qfq,49,2019-05-14 23:59:59.999989,10.8432,11.0954,10.8335,10.8723,418889.98,,SmaCross,49,737193.9999999999,Broker,49,9946.640000000001,9946.640000000001,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,600000qfq,50,2019-05-15 23:59:59.999989,10.9402,11.076,10.8917,10.979,344044.65,,SmaCross,50,737194.9999999999,Broker,50,9946.640000000001,9946.640000000001,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,600000qfq,51,2019-05-16 23:59:59.999989,10.9402,11.0178,10.882,10.9596,341417.55,,SmaCross,51,737195.9999999999,Broker,51,8852.62,9948.580000000002,BuySell,51,10.71877,,Trades - Net Profit/Loss,51,,
52,600000qfq,52,2019-05-17 23:59:59.999989,10.979,11.0081,10.8626,10.9014,383998.31,,SmaCross,52,737196.9999999999,Broker,52,8852.62,9942.76,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,600000qfq,53,2019-05-20 23:59:59.999989,10.9402,11.0954,10.9111,10.9984,349044.38,,SmaCross,53,737199.9999999999,Broker,53,9946.640000000001,9946.640000000001,BuySell,53,,11.261830999999999,Trades - Net Profit/Loss,53,1.7763568394002505e-13,
54,600000qfq,54,2019-05-21 23:59:59.999989,10.9887,11.105,10.9693,10.979,329758.73,,SmaCross,54,737200.9999999999,Broker,54,8847.77,9945.67,BuySell,54,10.8047605,,Trades - Net Profit/Loss,54,,
55,600000qfq,55,2019-05-22 23:59:59.999989,10.979,10.9984,10.785,10.8238,400003.91,,SmaCross,55,737201.9999999999,Broker,55,8847.77,9930.150000000001,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,600000qfq,56,2019-05-23 23:59:59.999989,10.785,10.8141,10.6201,10.7656,363126.89,,SmaCross,56,737202.9999999999,Broker,56,9926.27,9926.27,BuySell,56,,10.9763115,Trades - Net Profit/Loss,56,,-20.369999999999955
57,600000qfq,57,2019-05-24 23:59:59.999989,10.8335,10.882,10.6686,10.7753,241602.65,,SmaCross,57,737203.9999999999,Broker,57,9926.27,9926.27,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,600000qfq,58,2019-05-27 23:59:59.999989,10.7559,10.9208,10.6298,10.882,350879.15,,SmaCross,58,737206.9999999999,Broker,58,9926.27,9926.27,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,600000qfq,59,2019-05-28 23:59:59.999989,10.8529,10.9596,10.688,10.9499,722781.35,,SmaCross,59,737207.9999999999,Broker,59,8840.98,9935.97,BuySell,59,10.52768,,Trades - Net Profit/Loss,59,,
60,600000qfq,60,2019-05-29 23:59:59.999989,10.8335,10.9499,10.7365,10.785,408609.7,,SmaCross,60,737208.9999999999,Broker,60,8840.98,9919.48,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,600000qfq,61,2019-05-30 23:59:59.999989,10.8432,10.8432,10.6977,10.7753,266500.33,,SmaCross,61,737209.9999999999,Broker,61,9925.3,9925.3,BuySell,61,,11.005847999999999,Trades - Net Profit/Loss,61,,-0.9700000000000486
62,600000qfq,62,2019-05-31 23:59:59.999989,10.7753,10.8917,10.7171,10.7947,369767.28,,SmaCross,62,737210.9999999999,Broker,62,9925.3,9925.3,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,600000qfq,63,2019-06-03 23:59:59.999989,10.8335,10.9499,10.7947,10.9402,304920.63,,SmaCross,63,737213.9999999999,Broker,63,9925.3,9925.3,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,600000qfq,64,2019-06-04 23:59:59.999989,10.9499,11.0275,10.9208,11.0081,250773.93,,SmaCross,64,737214.9999999999,Broker,64,8830.31,9931.119999999999,BuySell,64,10.756988,,Trades - Net Profit/Loss,64,,
65,600000qfq,65,2019-06-05 23:59:59.999989,11.0857,11.1729,11.0081,11.0663,314236.41,,SmaCross,65,737215.9999999999,Broker,65,8830.31,9936.939999999999,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,600000qfq,66,2019-06-06 23:59:59.999989,11.1632,11.1632,11.0372,11.1244,264272.15,,SmaCross,66,737216.9999999999,Broker,66,8830.31,9942.75,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,600000qfq,67,2019-06-10 23:59:59.999989,11.2214,11.3475,11.1826,11.2602,431837.79,,SmaCross,67,737220.9999999999,Broker,67,8830.31,9956.33,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,600000qfq,68,2019-06-11 23:59:59.999989,11.35,11.45,11.27,11.42,522662.17,,SmaCross,68,737221.9999999999,Broker,68,8830.31,9972.31,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,600000qfq,69,2019-06-12 23:59:59.999989,11.42,11.7,11.4,11.6,506352.28,,SmaCross,69,737222.9999999999,Broker,69,8830.31,9990.31,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,600000qfq,70,2019-06-13 23:59:59.999989,11.57,11.79,11.5,11.7,469660.16,,SmaCross,70,737223.9999999999,Broker,70,8830.31,10000.31,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,600000qfq,71,2019-06-14 23:59:59.999989,11.74,11.87,11.71,11.79,473851.74,,SmaCross,71,737224.9999999999,Broker,71,8830.31,10009.31,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,600000qfq,72,2019-06-17 23:59:59.999989,11.78,11.92,11.75,11.77,352201.03,,SmaCross,72,737227.9999999999,Broker,72,8830.31,10007.31,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,600000qfq,73,2019-06-18 23:59:59.999989,11.82,11.9,11.72,11.82,289651.24,,SmaCross,73,737228.9999999999,Broker,73,8830.31,10012.31,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,600000qfq,74,2019-06-19 23:59:59.999989,12.04,12.07,11.81,11.88,449277.45,,SmaCross,74,737229.9999999999,Broker,74,8830.31,10018.31,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,600000qfq,75,2019-06-20 23:59:59.999989,11.95,12.32,11.85,12.2,716474.96,,SmaCross,75,737230.9999999999,Broker,75,8830.31,10050.31,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,600000qfq,76,2019-06-21 23:59:59.999989,12.18,12.3,12.03,12.09,553811.8,,SmaCross,76,737231.9999999999,Broker,76,8830.31,10039.31,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,600000qfq,77,2019-06-24 23:59:59.999989,12.09,12.13,11.96,12.03,341953.36,,SmaCross,77,737234.9999999999,Broker,77,8830.31,10033.31,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,600000qfq,78,2019-06-25 23:59:59.999989,11.98,11.98,11.51,11.66,803593.67,,SmaCross,78,737235.9999999999,Broker,78,8830.31,9996.31,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,600000qfq,79,2019-06-26 23:59:59.999989,11.56,11.73,11.55,11.66,369731.99,,SmaCross,79,737236.9999999999,Broker,79,9986.31,9986.31,BuySell,79,,11.905949999999999,Trades - Net Profit/Loss,79,61.0100000000001,
80,600000qfq,80,2019-06-27 23:59:59.999989,11.68,11.84,11.55,11.64,479977.83,,SmaCross,80,737237.9999999999,Broker,80,9986.31,9986.31,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,600000qfq,81,2019-06-28 23:59:59.999989,11.67,11.68,11.54,11.68,295451.73,,SmaCross,81,737238.9999999999,Broker,81,9986.31,9986.31,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,600000qfq,82,2019-07-01 23:59:59.999989,11.86,11.92,11.69,11.71,548878.82,,SmaCross,82,737241.9999999999,Broker,82,9986.31,9986.31,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,600000qfq,83,2019-07-02 23:59:59.999989,11.72,11.74,11.57,11.61,511657.29,,SmaCross,83,737242.9999999999,Broker,83,8814.31,9975.31,BuySell,83,11.39645,,Trades - Net Profit/Loss,83,,
84,600000qfq,84,2019-07-03 23:59:59.999989,11.62,11.63,11.51,11.56,365670.85,,SmaCross,84,737243.9999999999,Broker,84,9976.31,9976.31,BuySell,84,,11.80445,Trades - Net Profit/Loss,84,,-10.000000000000142
85,600000qfq,85,2019-07-04 23:59:59.999989,11.61,11.67,11.57,11.62,303692.01,,SmaCross,85,737244.9999999999,Broker,85,9976.31,9976.31,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,600000qfq,86,2019-07-05 23:59:59.999989,11.63,11.64,11.53,11.57,257532.41,,SmaCross,86,737245.9999999999,Broker,86,9976.31,9976.31,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,600000qfq,87,2019-07-08 23:59:59.999989,11.56,11.57,11.31,11.36,347106.76,,SmaCross,87,737248.9999999999,Broker,87,9976.31,9976.31,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,600000qfq,88,2019-07-09 23:59:59.999989,11.4,11.43,11.33,11.37,218854.04,,SmaCross,88,737249.9999999999,Broker,88,9976.31,9976.31,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,600000qfq,89,2019-07-10 23:59:59.999989,11.43,11.43,11.31,11.35,234098.9,,SmaCross,89,737250.9999999999,Broker,89,9976.31,9976.31,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,600000qfq,90,2019-07-11 23:59:59.999989,11.43,11.46,11.34,11.4,232858.35,,SmaCross,90,737251.9999999999,Broker,90,9976.31,9976.31,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,600000qfq,91,2019-07-12 23:59:59.999989,11.39,11.62,11.39,11.52,348169.96,,SmaCross,91,737252.9999999999,Broker,91,9976.31,9976.31,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,600000qfq,92,2019-07-15 23:59:59.999989,11.4,11.54,11.22,11.5,403056.03,,SmaCross,92,737255.9999999999,Broker,92,8836.31,9986.31,BuySell,92,11.0517,,Trades - Net Profit/Loss,92,,
93,600000qfq,93,2019-07-16 23:59:59.999989,11.5,11.57,11.44,11.55,216060.07,,SmaCross,93,737256.9999999999,Broker,93,8836.31,9991.31,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,600000qfq,94,2019-07-17 23:59:59.999989,11.49,11.57,11.46,11.48,174803.72,,SmaCross,94,737257.9999999999,Broker,94,8836.31,9984.31,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,600000qfq,95,2019-07-18 23:59:59.999989,11.53,11.53,11.45,11.49,182600.34,,SmaCross,95,737258.9999999999,Broker,95,9989.31,9989.31,BuySell,95,,11.702949999999998,Trades - Net Profit/Loss,95,12.9999999999999,
96,600000qfq,96,2019-07-19 23:59:59.999989,11.51,11.63,11.49,11.58,196196.22,,SmaCross,96,737259.9999999999,Broker,96,9989.31,9989.31,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,600000qfq,97,2019-07-22 23:59:59.999989,11.54,11.63,11.47,11.48,256178.75,,SmaCross,97,737262.9999999999,Broker,97,8835.31,9983.31,BuySell,97,11.29795,,Trades - Net Profit/Loss,97,,
98,600000qfq,98,2019-07-23 23:59:59.999989,11.43,11.56,11.43,11.49,179278.98,,SmaCross,98,737263.9999999999,Broker,98,9978.31,9978.31,BuySell,98,,11.7334,Trades - Net Profit/Loss,98,,-10.999999999999943
99,600000qfq,99,2019-07-24 23:59:59.999989,11.54,11.68,11.53,11.59,241122.88,,SmaCross,99,737264.9999999999,Broker,99,9978.31,9978.31,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,600000qfq,100,2019-07-25 23:59:59.999989,11.57,11.96,11.57,11.88,559002.19,,SmaCross,100,737265.9999999999,Broker,100,8821.31,10009.31,BuySell,100,11.39645,,Trades - Net Profit/Loss,100,,
101,600000qfq,101,2019-07-26 23:59:59.999989,11.83,11.94,11.81,11.87,303689.88,,SmaCross,101,737266.9999999999,Broker,101,8821.31,10008.31,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,600000qfq,102,2019-07-29 23:59:59.999989,11.9,11.94,11.8,11.86,214650.11,,SmaCross,102,737269.9999999999,Broker,102,8821.31,10007.31,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,600000qfq,103,2019-07-30 23:59:59.999989,11.84,12.0,11.84,11.86,337310.02,,SmaCross,103,737270.9999999999,Broker,103,8821.31,10007.31,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,600000qfq,104,2019-07-31 23:59:59.999989,11.81,11.94,11.73,11.87,306507.58,,SmaCross,104,737271.9999999999,Broker,104,8821.31,10008.31,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,600000qfq,105,2019-08-01 23:59:59.999989,11.76,11.85,11.63,11.65,324717.02,,SmaCross,105,737272.9999999999,Broker,105,8821.31,9986.31,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,600000qfq,106,2019-08-02 23:59:59.999989,11.48,11.56,11.41,11.48,389760.91,,SmaCross,106,737273.9999999999,Broker,106,9969.31,9969.31,BuySell,106,,11.7334,Trades - Net Profit/Loss,106,,-8.999999999999986
107,600000qfq,107,2019-08-05 23:59:59.999989,11.42,11.46,11.23,11.24,427190.73,,SmaCross,107,737276.9999999999,Broker,107,9969.31,9969.31,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,600000qfq,108,2019-08-06 23:59:59.999989,11.1,11.23,10.97,11.09,452038.53,,SmaCross,108,737277.9999999999,Broker,108,9969.31,9969.31,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,600000qfq,109,2019-08-07 23:59:59.999989,11.14,11.16,11.05,11.07,314620.85,,SmaCross,109,737278.9999999999,Broker,109,9969.31,9969.31,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,600000qfq,110,2019-08-08 23:59:59.999989,11.15,11.31,11.11,11.26,332580.85,,SmaCross,110,737279.9999999999,Broker,110,9969.31,9969.31,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,600000qfq,111,2019-08-09 23:59:59.999989,11.31,11.41,11.26,11.37,406379.93,,SmaCross,111,737280.9999999999,Broker,111,8838.31,9975.31,BuySell,111,11.091099999999999,,Trades - Net Profit/Loss,111,,
112,600000qfq,112,2019-08-12 23:59:59.999989,11.33,11.45,11.31,11.43,349890.82,,SmaCross,112,737283.9999999999,Broker,112,8838.31,9981.31,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,600000qfq,113,2019-08-13 23:59:59.999989,11.4,11.4,11.29,11.33,188399.79,,SmaCross,113,737284.9999999999,Broker,113,8838.31,9971.31,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,600000qfq,114,2019-08-14 23:59:59.999989,11.42,11.48,11.28,11.28,198744.57,,SmaCross,114,737285.9999999999,Broker,114,8838.31,9966.31,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,600000qfq,115,2019-08-15 23:59:59.999989,11.16,11.32,11.12,11.29,191011.92,,SmaCross,115,737286.9999999999,Broker,115,9954.31,9954.31,BuySell,115,,11.489799999999999,Trades - Net Profit/Loss,115,,-15.000000000000036
116,600000qfq,116,2019-08-16 23:59:59.999989,11.25,11.34,11.21,11.22,248235.61,,SmaCross,116,737287.9999999999,Broker,116,9954.31,9954.31,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,600000qfq,117,2019-08-19 23:59:59.999989,11.22,11.38,11.08,11.38,382533.41,,SmaCross,117,737290.9999999999,Broker,117,9954.31,9954.31,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,600000qfq,118,2019-08-20 23:59:59.999989,11.3,11.47,11.28,11.37,237580.5,,SmaCross,118,737291.9999999999,Broker,118,8824.31,9961.31,BuySell,118,11.1108,,Trades - Net Profit/Loss,118,,
119,600000qfq,119,2019-08-21 23:59:59.999989,11.35,11.44,11.34,11.41,146565.37,,SmaCross,119,737292.9999999999,Broker,119,8824.31,9965.31,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,600000qfq,120,2019-08-22 23:59:59.999989,11.43,11.45,11.37,11.43,158668.36,,SmaCross,120,737293.9999999999,Broker,120,8824.31,9967.31,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,600000qfq,121,2019-08-23 23:59:59.999989,11.39,11.59,11.38,11.59,336553.77,,SmaCross,121,737294.9999999999,Broker,121,8824.31,9983.31,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,600000qfq,122,2019-08-26 23:59:59.999989,11.39,11.44,11.15,11.3,418451.76,,SmaCross,122,737297.9999999999,Broker,122,8824.31,9954.31,BuySell,122,,,Trades - Net Profit/Loss,122,,
