date,code,open,high,low,close,vol,PE,ROE,marketdays
2002-12-31,000016.SZ,27.39926976,27.55856784,27.0806736,27.12049812,379405.0,-8.459037780761719,1.2173,3931
2003-01-02,000016.SZ,26.881551,27.0806736,25.80628896,26.2841832,615566.0,-8.198185920715332,1.2173,3933
2003-01-03,000016.SZ,26.2841832,26.80190196,26.2841832,26.56295484,425253.0,-8.285136222839355,1.2173,3934
2003-01-06,000016.SZ,26.32400772,28.19576016,26.32400772,27.55856784,539801.0,-8.595673561096191,1.2173,3937
2003-01-07,000016.SZ,27.75769044,28.076286600000003,27.20014716,27.35944524,610423.0,-8.533566474914549,1.2173,3938
2003-01-08,000016.SZ,27.35944524,28.275409200000002,27.35944524,28.275409200000002,513083.0,-8.819260597229004,1.2173,3939
2003-01-09,000016.SZ,28.275409200000002,29.2710222,28.076286600000003,28.872777000000003,1557497.0,-9.005582809448242,1.2173,3940
2003-01-10,000016.SZ,29.03207508,29.62944288,28.19576016,28.275409200000002,1242699.0,-8.819260597229004,1.2173,3941
2003-01-13,000016.SZ,28.19576016,28.63382988,28.19576016,28.43470728,505644.0,-8.86894702911377,1.2173,3944
2003-01-14,000016.SZ,28.35505824,30.30645972,28.275409200000002,29.90821452,2486424.0,-9.32854175567627,1.2173,3945
2003-01-15,000016.SZ,30.18698616,32.058738600000005,29.74891644,31.14277464,6188943.0,-9.713607788085938,1.2173,3946
2003-01-16,000016.SZ,31.14277464,31.979089559999995,30.82417848,31.42154628,3319465.0,-9.800559043884276,1.2173,3947
2003-01-17,000016.SZ,31.859616,31.979089559999995,30.6648804,30.78435396,1677008.0000000002,-9.601815223693848,1.2173,3948
2003-01-20,000016.SZ,30.6648804,31.18259916,30.4657578,31.0631256,1026261.0,-9.688765525817873,1.2173,3951
2003-01-21,000016.SZ,31.0631256,31.10295012,29.98786356,30.0675126,1017045.0,-9.378228187561037,1.2173,3952
2003-01-22,000016.SZ,29.70909192,30.2666352,29.6692674,29.86839,762700.0,-9.316120147705078,1.2173,3953
2003-01-23,000016.SZ,29.86839,30.22681068,29.50996932,29.50996932,693663.0,-9.204326629638672,1.2173,3954
2003-01-24,000016.SZ,29.470144800000003,30.2666352,29.43032028,30.18698616,751038.0,-9.415492057800293,1.2173,3955
2003-01-27,000016.SZ,30.2666352,30.98347656,30.2666352,30.82417848,932928.0,-9.614235877990724,1.2173,3958
2003-01-28,000016.SZ,30.74452944,31.02330108,30.30645972,30.78435396,523077.00000000006,-9.601815223693848,1.2173,3959
2003-01-29,000016.SZ,30.74452944,31.54101984,30.74452944,30.98347656,951015.0,-9.663922309875488,1.2173,3960
2003-02-10,000016.SZ,30.98347656,31.38172176,30.2666352,30.42593328,416063.0,-9.49002170562744,1.2173,3972
2003-02-11,000016.SZ,30.34628424,30.74452944,30.34628424,30.6648804,376871.0,-9.564550399780273,1.2173,3973
2003-02-12,000016.SZ,30.6648804,31.10295012,30.42593328,30.90382752,468562.0,-9.639079093933104,1.2173,3974
2003-02-13,000016.SZ,31.18259916,31.62066888,30.90382752,30.94365204,1097278.0,-9.651500701904297,1.2173,3975
2003-02-14,000016.SZ,30.94365204,31.34189724,30.78435396,30.98347656,463873.0,-9.663922309875488,1.2173,3976
2003-02-17,000016.SZ,30.98347656,31.42154628,30.4657578,30.6648804,684082.0,-9.564550399780273,1.2173,3979
2003-02-18,000016.SZ,30.6648804,31.02330108,30.54540684,30.6648804,508266.0,-9.564550399780273,1.2173,3980
2003-02-19,000016.SZ,30.6648804,31.14277464,30.4657578,31.10295012,708440.0,-9.701187133789062,1.2173,3981
2003-02-20,000016.SZ,31.30207272,32.17821216,31.262248200000002,31.58084436,3270834.0,-9.850244522094727,1.2173,3982
2003-02-21,000016.SZ,31.979089559999995,31.979089559999995,30.58523136,30.74452944,1477955.0,-9.589393615722656,1.2173,3983
2003-02-24,000016.SZ,30.6648804,31.14277464,30.58523136,30.82417848,695186.0,-9.614235877990724,1.2173,3986
2003-02-25,000016.SZ,30.98347656,32.058738600000005,30.98347656,31.93926504,2675453.0,-9.962038040161133,1.2173,3987
2003-02-26,000016.SZ,31.93926504,32.018914079999995,31.461370799999997,31.6604934,727302.0,-9.87508773803711,1.2173,3988
2003-02-27,000016.SZ,31.6604934,32.058738600000005,31.461370799999997,31.77996696,903938.0,-9.912352561950684,1.2173,3989
2003-02-28,000016.SZ,31.77996696,31.859616,31.30207272,31.62066888,578393.0,-9.862666130065918,1.2173,3990
2003-03-03,000016.SZ,31.58084436,32.41715928,31.50119532,32.41715928,2038500.0,-10.111096382141113,1.2173,3993
2003-03-04,000016.SZ,32.41715928,32.49680832,31.979089559999995,32.17821216,1186633.0,-10.036566734313963,1.2173,3994
2003-03-05,000016.SZ,32.17821216,32.21803668,31.42154628,32.018914079999995,966006.0,-9.986881256103516,1.2173,3995
2003-03-06,000016.SZ,31.89944052,31.89944052,31.10295012,31.30207272,1106900.0,-9.763294219970703,1.2173,3996
2003-03-07,000016.SZ,31.30207272,31.461370799999997,31.0631256,31.0631256,501300.0,-9.688765525817873,1.2173,3997
